timestamp,acc_x,acc_y,acc_z,vel_x,vel_y,vel_z,label
0,-1.522,9.428,-11.297,-529.79,8733.364,-9156.952,0
21,-1.375,9.53,-11.324,-529.819,8733.566,-9157.19,0
41,-1.404,9.564,-11.335,-529.849,8733.768,-9157.43,0
62,-1.521,9.579,-11.322,-529.881,8733.968,-9157.668,0
83,-1.719,9.419,-11.322,-529.917,8734.166,-9157.906,0
104,-1.932,9.134,-11.252,-529.957,8734.358,-9158.142,0
125,-2.065,8.882,-11.149,-530.001,8734.546,-9158.376,0
146,-2.349,8.783,-11.183,-530.05,8734.73,-9158.612,0
167,-2.27,8.899,-11.269,-530.098,8734.918,-9158.85,0
188,-2.097,9.001,-11.459,-530.142,8735.106,-9159.092,0
208,-2.203,9.017,-11.522,-530.188,8735.296,-9159.334,0
229,-2.539,8.998,-11.455,-530.242,8735.486,-9159.574,0
250,-2.664,9.04,-11.517,-530.298,8735.676,-9159.816,0
271,-2.456,9.11,-11.601,-530.349,8735.868,-9160.062,0
292,-2.276,9.219,-11.61,-530.397,8736.062,-9160.306,0
313,-2.266,9.244,-11.663,-530.445,8736.256,-9160.55,0
333,-2.252,9.199,-11.631,-530.492,8736.448,-9160.794,0
354,-2.33,9.214,-11.603,-530.541,8736.642,-9161.038,0
375,-2.322,9.132,-11.594,-530.59,8736.834,-9161.282,0
396,-2.206,9.008,-11.708,-530.636,8737.024,-9161.528,0
417,-2.218,9.073,-11.681,-530.683,8737.214,-9161.774,0
438,-2.196,9.056,-11.674,-530.729,8737.406,-9162.022,0
459,-2.248,9.033,-11.643,-530.777,8737.596,-9162.266,0
480,-2.211,8.963,-11.781,-530.823,8737.784,-9162.514,0
500,-2.119,8.983,-11.927,-530.868,8737.974,-9162.766,0
521,-2.086,9.091,-11.993,-530.912,8738.164,-9163.018,0
542,-2.136,9.163,-11.938,-530.957,8738.356,-9163.268,0
563,-2.299,9.06,-11.808,-531.005,8738.548,-9163.516,0
584,-2.014,9.086,-11.674,-531.047,8738.738,-9163.762,0
604,-1.759,9.04,-11.56,-531.084,8738.93,-9164.006,0
625,-1.915,8.921,-11.463,-531.125,8739.116,-9164.246,0
646,-2.274,8.833,-11.456,-531.172,8739.302,-9164.488,0
667,-2.386,8.662,-11.678,-531.223,8739.484,-9164.732,0
688,-2.526,8.707,-11.766,-531.276,8739.668,-9164.98,0
709,-2.503,8.706,-11.851,-531.328,8739.85,-9165.23,0
730,-2.406,8.82,-12.024,-531.379,8740.036,-9165.482,0
750,-2.293,9.097,-11.991,-531.427,8740.228,-9165.734,0
771,-2.338,9.211,-11.99,-531.476,8740.42,-9165.986,0
792,-2.792,9.185,-12.127,-531.535,8740.614,-9166.24,0
813,-2.723,9.163,-12.139,-531.592,8740.806,-9166.496,0
834,-2.637,9.133,-12.1,-531.648,8740.998,-9166.75,0
855,-2.519,9.15,-11.993,-531.701,8741.19,-9167.004,0
875,-2.371,9.085,-11.997,-531.751,8741.382,-9167.256,0
896,-2.323,9.009,-11.993,-531.799,8741.572,-9167.508,0
917,-2.366,9.012,-11.971,-531.849,8741.762,-9167.76,0
938,-2.401,8.907,-12.065,-531.9,8741.948,-9168.014,0
959,-2.462,9.001,-11.884,-531.951,8742.138,-9168.264,0
980,-2.379,8.923,-11.888,-532.001,8742.326,-9168.514,0
1001,-2.163,8.984,-11.834,-532.047,8742.514,-9168.762,0
1021,-2.178,8.956,-11.885,-532.093,8742.702,-9169.012,0
1042,-2.317,8.896,-11.887,-532.141,8742.89,-9169.262,0
1063,-2.422,8.874,-11.819,-532.192,8743.076,-9169.51,0
1084,-2.45,8.878,-11.778,-532.244,8743.264,-9169.758,0
1105,-2.384,8.906,-11.767,-532.294,8743.45,-9170.006,0
1125,-2.367,8.941,-11.777,-532.344,8743.64,-9170.254,0
1146,-2.338,9.075,-11.881,-532.393,8743.83,-9170.504,0
1167,-2.271,9.118,-11.879,-532.441,8744.022,-9170.754,0
1188,-2.363,9.027,-11.84,-532.49,8744.21,-9171.002,0
1209,-2.438,8.986,-11.831,-532.542,8744.398,-9171.252,0
1230,-2.475,9.08,-11.777,-532.594,8744.59,-9171.5,1
1251,-2.565,9.005,-11.733,-532.648,8744.78,-9171.746,1
1272,-2.569,8.97,-11.758,-532.702,8744.968,-9171.994,1
1292,-2.432,8.913,-11.754,-532.753,8745.156,-9172.24,1
1313,-2.295,8.833,-11.801,-532.801,8745.342,-9172.488,1
1334,-2.279,8.832,-11.8,-532.849,8745.526,-9172.736,1
1355,-2.333,8.952,-11.795,-532.898,8745.716,-9172.984,1
1376,-2.254,9.076,-11.878,-532.945,8745.906,-9173.234,1
1397,-2.108,9.226,-11.945,-532.99,8746.1,-9173.486,1
1417,-2.038,9.271,-11.869,-533.033,8746.296,-9173.736,1
1438,-2.0,9.105,-11.68,-533.075,8746.486,-9173.982,1
1459,-1.989,9.058,-11.762,-533.116,8746.678,-9174.23,1
1480,-2.02,9.189,-11.835,-533.159,8746.87,-9174.478,1
1501,-2.103,9.127,-11.933,-533.203,8747.062,-9174.73,1
1522,-2.13,9.07,-11.851,-533.248,8747.254,-9174.98,1
1543,-1.992,8.856,-11.828,-533.29,8747.44,-9175.228,1
1563,-2.341,8.865,-11.816,-533.339,8747.628,-9175.476,1
1584,-2.593,9.142,-12.019,-533.394,8747.82,-9175.73,1
1605,-2.465,9.273,-12.14,-533.445,8748.016,-9175.984,1
1626,-2.344,9.336,-11.949,-533.495,8748.212,-9176.234,1
1647,-2.263,9.198,-11.747,-533.542,8748.404,-9176.482,1
1668,-2.04,9.159,-11.662,-533.585,8748.598,-9176.728,1
1688,-2.078,9.043,-11.828,-533.629,8748.788,-9176.976,1
1709,-2.296,8.653,-11.878,-533.677,8748.97,-9177.226,1
1730,-2.289,8.428,-11.819,-533.725,8749.146,-9177.474,1
1751,-2.216,8.323,-11.835,-533.772,8749.32,-9177.724,1
1772,-2.245,8.526,-12.061,-533.819,8749.5,-9177.978,1
1793,-1.878,8.876,-11.906,-533.859,8749.688,-9178.228,1
1814,-1.337,9.051,-11.86,-533.887,8749.878,-9178.476,1
1834,-1.524,9.351,-11.652,-533.919,8750.074,-9178.722,1
1855,-2.072,9.075,-11.639,-533.962,8750.264,-9178.966,1
1876,-1.934,8.611,-11.575,-534.003,8750.444,-9179.21,1
1897,-1.418,8.56,-11.72,-534.033,8750.624,-9179.456,1
1918,-1.335,8.631,-11.804,-534.061,8750.806,-9179.704,1
1939,-1.544,8.723,-11.809,-534.094,8750.99,-9179.952,1
1959,-1.838,8.694,-11.845,-534.132,8751.174,-9180.202,1
