timestamp,acc_x,acc_y,acc_z,vel_x,vel_y,vel_z,label
0,1.218,9.526,-10.395,-496.987,9049.266,-9497.28,0
21,1.058,9.499,-10.272,-496.965,9049.466,-9497.496,0
42,1.05,9.318,-10.376,-496.942,9049.662,-9497.714,0
63,0.999,9.258,-10.461,-496.921,9049.856,-9497.934,0
84,0.828,9.377,-10.476,-496.904,9050.054,-9498.154,0
105,0.694,9.499,-10.445,-496.889,9050.254,-9498.374,0
125,0.904,9.509,-10.581,-496.87,9050.454,-9498.598,0
146,0.974,9.475,-10.544,-496.85,9050.652,-9498.818,0
167,0.907,9.46,-10.643,-496.831,9050.852,-9499.042,0
188,0.662,9.529,-10.609,-496.817,9051.052,-9499.266,0
209,0.663,9.486,-10.546,-496.803,9051.252,-9499.486,0
230,0.812,9.398,-10.544,-496.786,9051.448,-9499.708,0
251,0.849,9.288,-10.65,-496.768,9051.644,-9499.932,0
271,0.706,9.248,-10.55,-496.753,9051.838,-9500.154,0
292,0.569,9.273,-10.658,-496.741,9052.034,-9500.378,0
313,0.572,9.363,-10.805,-496.729,9052.23,-9500.604,0
334,0.488,9.573,-10.748,-496.719,9052.432,-9500.83,0
355,0.523,9.696,-11.038,-496.708,9052.636,-9501.062,0
376,0.599,9.652,-10.999,-496.695,9052.838,-9501.294,0
396,0.619,9.477,-10.788,-496.682,9053.038,-9501.52,0
417,0.521,9.313,-10.641,-496.671,9053.234,-9501.744,0
438,0.373,9.323,-10.763,-496.664,9053.43,-9501.97,0
459,0.234,9.502,-10.87,-496.659,9053.63,-9502.198,0
480,0.294,9.524,-10.897,-496.653,9053.83,-9502.428,0
501,0.575,9.3,-10.952,-496.64,9054.026,-9502.658,0
522,0.824,9.005,-10.864,-496.623,9054.216,-9502.888,0
542,0.925,8.975,-10.782,-496.604,9054.404,-9503.114,0
563,0.658,9.551,-10.864,-496.59,9054.604,-9503.344,0
584,0.596,9.603,-10.992,-496.577,9054.806,-9503.574,0
605,0.623,9.583,-11.054,-496.564,9055.008,-9503.806,0
626,0.566,9.597,-10.963,-496.552,9055.21,-9504.036,0
647,0.443,9.517,-10.936,-496.543,9055.41,-9504.266,0
667,0.398,9.494,-10.955,-496.535,9055.61,-9504.496,0
688,0.409,9.512,-10.951,-496.526,9055.81,-9504.728,0
709,0.5,9.613,-11.036,-496.516,9056.012,-9504.96,0
730,0.525,9.628,-11.011,-496.505,9056.214,-9505.19,0
751,0.52,9.682,-11.013,-496.494,9056.418,-9505.422,0
772,0.627,9.643,-11.092,-496.48,9056.62,-9505.656,0
792,0.721,9.548,-10.977,-496.465,9056.822,-9505.886,0
813,0.836,9.392,-10.807,-496.448,9057.02,-9506.112,0
834,0.895,9.267,-10.802,-496.429,9057.214,-9506.34,0
855,0.927,9.296,-10.771,-496.409,9057.408,-9506.566,0
876,0.76,9.336,-10.701,-496.393,9057.604,-9506.79,0
897,0.659,9.283,-10.645,-496.38,9057.8,-9507.014,0
918,0.674,9.319,-10.667,-496.365,9057.996,-9507.238,0
938,0.694,9.417,-10.673,-496.351,9058.192,-9507.462,0
959,0.711,9.468,-10.653,-496.336,9058.392,-9507.686,0
980,0.763,9.522,-10.682,-496.32,9058.592,-9507.91,0
1001,0.851,9.595,-10.565,-496.302,9058.794,-9508.132,0
1022,0.883,9.524,-10.563,-496.283,9058.994,-9508.354,0
1042,0.887,9.477,-10.554,-496.265,9059.194,-9508.574,0
1063,0.928,9.438,-10.499,-496.245,9059.392,-9508.796,0
1084,0.974,9.355,-10.361,-496.225,9059.588,-9509.014,0
1105,0.988,9.232,-10.438,-496.204,9059.782,-9509.232,0
1126,0.929,9.283,-10.482,-496.184,9059.978,-9509.452,0
1147,0.875,9.402,-10.456,-496.166,9060.174,-9509.672,0
1167,0.996,9.433,-10.434,-496.145,9060.372,-9509.892,0
1188,1.098,9.353,-10.435,-496.122,9060.568,-9510.11,0
1209,1.052,9.364,-10.494,-496.1,9060.766,-9510.332,0
1230,0.978,9.542,-10.563,-496.079,9060.966,-9510.554,0
1251,1.034,9.493,-10.597,-496.058,9061.166,-9510.776,0
1272,1.038,9.445,-10.586,-496.036,9061.364,-9510.998,1
1292,0.897,9.528,-10.534,-496.017,9061.564,-9511.22,1
1313,0.889,9.579,-10.516,-495.998,9061.766,-9511.442,1
1334,1.006,9.492,-10.569,-495.977,9061.966,-9511.664,1
1355,1.055,9.605,-10.642,-495.955,9062.168,-9511.888,1
1376,0.746,9.679,-10.616,-495.939,9062.37,-9512.112,1
1397,0.477,9.403,-10.556,-495.929,9062.568,-9512.334,1
1418,0.895,8.774,-10.587,-495.91,9062.752,-9512.556,1
1438,2.074,9.07,-10.574,-495.867,9062.942,-9512.778,1
