timestamp,acc_x,acc_y,acc_z,vel_x,vel_y,vel_z,label
0,1.771,9.404,-10.064,-214.516,10363.982,-11244.308,0
20,1.633,9.407,-10.065,-214.481,10364.182,-11244.52,0
41,1.819,9.42,-10.136,-214.443,10364.38,-11244.732,0
62,1.938,9.443,-10.096,-214.402,10364.578,-11244.944,0
83,1.942,9.478,-9.911,-214.361,10364.776,-11245.152,0
104,1.703,9.228,-9.967,-214.326,10364.972,-11245.362,0
125,1.469,9.281,-9.965,-214.295,10365.166,-11245.572,0
145,1.406,9.165,-9.964,-214.265,10365.358,-11245.782,0
166,1.475,8.993,-9.986,-214.234,10365.548,-11245.992,0
187,1.606,9.03,-10.074,-214.2,10365.738,-11246.204,0
208,1.618,9.318,-10.057,-214.166,10365.934,-11246.416,0
229,1.662,9.553,-10.048,-214.131,10366.136,-11246.628,0
249,1.762,9.582,-10.052,-214.094,10366.336,-11246.838,0
270,1.733,9.505,-10.05,-214.058,10366.536,-11247.05,0
291,1.692,9.523,-9.945,-214.022,10366.736,-11247.258,0
312,1.595,9.307,-9.912,-213.989,10366.932,-11247.466,0
333,1.576,9.21,-9.995,-213.956,10367.126,-11247.676,0
354,1.623,9.273,-9.925,-213.921,10367.32,-11247.886,0
375,1.799,9.356,-10.012,-213.884,10367.518,-11248.096,0
396,1.914,9.387,-10.044,-213.843,10367.714,-11248.308,0
416,1.896,9.45,-9.917,-213.803,10367.912,-11248.516,0
438,1.756,9.317,-9.864,-213.767,10368.108,-11248.724,0
458,1.696,9.213,-9.925,-213.731,10368.302,-11248.932,0
479,1.546,9.275,-9.861,-213.698,10368.498,-11249.14,0
500,1.461,9.261,-9.907,-213.668,10368.692,-11249.348,0
520,1.276,9.295,-9.85,-213.641,10368.888,-11249.554,0
541,1.169,9.374,-9.864,-213.616,10369.084,-11249.762,0
562,1.178,9.34,-10.02,-213.591,10369.28,-11249.972,0
583,1.133,9.42,-10.141,-213.568,10369.48,-11250.186,0
604,1.13,9.477,-10.056,-213.544,10369.678,-11250.396,0
625,1.211,9.389,-10.047,-213.518,10369.876,-11250.608,0
646,1.332,9.351,-10.261,-213.49,10370.072,-11250.824,0
667,1.209,9.552,-10.154,-213.465,10370.272,-11251.038,0
687,1.111,9.567,-10.087,-213.442,10370.474,-11251.25,0
708,1.145,9.401,-10.138,-213.418,10370.672,-11251.462,0
729,1.238,9.235,-10.17,-213.392,10370.866,-11251.676,0
750,1.288,9.128,-9.991,-213.364,10371.058,-11251.886,0
771,1.32,9.176,-10.151,-213.337,10371.252,-11252.1,0
792,1.153,9.398,-10.17,-213.312,10371.448,-11252.314,0
812,1.019,9.422,-10.165,-213.291,10371.646,-11252.528,0
833,1.075,9.359,-10.147,-213.268,10371.844,-11252.742,0
854,1.136,9.353,-10.257,-213.244,10372.04,-11252.958,0
875,1.135,9.506,-10.423,-213.221,10372.24,-11253.176,0
896,1.063,9.612,-10.417,-213.198,10372.442,-11253.396,0
917,1.169,9.552,-10.313,-213.174,10372.644,-11253.612,0
938,1.199,9.527,-10.242,-213.148,10372.844,-11253.828,0
958,1.188,9.734,-10.425,-213.123,10373.05,-11254.046,0
979,1.104,9.779,-10.336,-213.1,10373.256,-11254.264,0
1000,1.087,9.587,-10.362,-213.077,10373.456,-11254.482,0
1021,1.098,9.476,-10.272,-213.054,10373.656,-11254.698,0
1042,1.201,9.292,-10.531,-213.029,10373.852,-11254.92,0
1062,1.278,9.378,-10.323,-213.002,10374.048,-11255.136,0
1083,1.247,9.38,-10.298,-212.976,10374.246,-11255.354,0
1104,1.195,9.304,-10.269,-212.951,10374.442,-11255.57,0
1125,1.185,9.326,-10.323,-212.926,10374.638,-11255.786,0
1146,1.132,9.347,-10.314,-212.902,10374.834,-11256.004,0
1167,1.113,9.481,-10.272,-212.879,10375.034,-11256.22,0
1188,1.224,9.495,-10.379,-212.853,10375.232,-11256.438,0
1208,1.292,9.405,-10.339,-212.826,10375.43,-11256.654,1
1229,1.364,9.277,-10.255,-212.797,10375.626,-11256.87,1
1250,1.259,9.271,-10.086,-212.771,10375.82,-11257.082,1
1271,1.108,9.359,-10.065,-212.747,10376.018,-11257.294,1
1292,1.009,9.496,-10.141,-212.726,10376.218,-11257.508,1
1313,0.892,9.45,-10.274,-212.707,10376.416,-11257.724,1
1333,0.965,9.535,-10.132,-212.687,10376.616,-11257.936,1
1354,1.11,9.455,-10.11,-212.664,10376.814,-11258.148,1
1375,1.245,9.429,-10.262,-212.637,10377.014,-11258.364,1
1396,1.235,9.447,-10.141,-212.611,10377.212,-11258.578,1
1417,1.256,9.393,-10.086,-212.585,10377.408,-11258.79,1
1438,1.345,9.39,-10.13,-212.557,10377.606,-11259.002,1
1459,1.276,9.551,-10.13,-212.53,10377.808,-11259.216,1
1479,1.041,9.452,-10.265,-212.508,10378.006,-11259.432,1
1500,1.02,9.287,-10.281,-212.487,10378.202,-11259.646,1
1521,1.132,9.332,-10.245,-212.463,10378.398,-11259.862,1
1542,1.227,9.485,-10.074,-212.437,10378.598,-11260.074,1
1563,1.381,9.357,-10.171,-212.408,10378.794,-11260.288,1
1584,1.348,9.285,-10.227,-212.38,10378.988,-11260.504,1
1604,1.241,9.458,-10.327,-212.354,10379.188,-11260.72,1
1625,1.197,9.591,-10.227,-212.328,10379.39,-11260.936,1
1646,1.32,9.616,-10.163,-212.301,10379.592,-11261.148,1
1667,1.391,9.538,-10.203,-212.271,10379.792,-11261.364,1
1688,1.454,9.472,-10.232,-212.241,10379.992,-11261.578,1
1709,1.425,9.449,-10.306,-212.211,10380.19,-11261.796,1
1730,1.412,9.432,-10.396,-212.181,10380.388,-11262.014,1
1750,1.43,9.381,-10.329,-212.151,10380.586,-11262.23,1
