timestamp,acc_x,acc_y,acc_z,vel_x,vel_y,vel_z,label
0,-3.104,8.954,-11.217,-257.155,10568.07,-11491.552,0
21,-3.131,8.942,-11.283,-257.221,10568.26,-11491.788,0
42,-3.081,8.874,-11.271,-257.286,10568.446,-11492.026,0
63,-3.12,8.76,-11.313,-257.352,10568.63,-11492.264,0
84,-3.151,8.936,-11.24,-257.418,10568.818,-11492.5,0
105,-3.071,8.918,-11.318,-257.482,10569.006,-11492.738,0
125,-3.084,8.917,-11.233,-257.547,10569.192,-11492.976,0
146,-3.171,8.829,-11.284,-257.614,10569.378,-11493.212,0
167,-3.114,8.844,-11.354,-257.679,10569.564,-11493.45,0
188,-3.063,8.894,-11.331,-257.744,10569.752,-11493.688,0
209,-3.161,8.848,-11.333,-257.81,10569.938,-11493.928,0
229,-3.216,8.796,-11.33,-257.878,10570.122,-11494.166,0
250,-3.131,8.815,-11.336,-257.944,10570.308,-11494.404,0
271,-3.04,8.848,-11.366,-258.008,10570.494,-11494.644,0
292,-3.002,8.954,-11.38,-258.071,10570.684,-11494.882,0
313,-3.023,8.839,-11.376,-258.134,10570.868,-11495.122,0
334,-3.178,8.908,-11.342,-258.201,10571.056,-11495.36,0
354,-3.039,8.798,-11.429,-258.265,10571.24,-11495.6,0
375,-3.036,8.833,-11.344,-258.329,10571.426,-11495.838,0
396,-3.077,8.821,-11.319,-258.394,10571.612,-11496.076,0
417,-3.089,8.935,-11.35,-258.459,10571.8,-11496.316,0
438,-3.07,8.964,-11.385,-258.523,10571.988,-11496.556,0
459,-3.098,8.891,-11.382,-258.588,10572.176,-11496.794,0
480,-3.118,8.801,-11.363,-258.654,10572.36,-11497.034,0
500,-3.129,8.785,-11.327,-258.72,10572.544,-11497.272,0
521,-3.089,8.833,-11.342,-258.785,10572.73,-11497.51,0
542,-3.048,8.885,-11.385,-258.849,10572.916,-11497.75,0
563,-2.976,8.925,-11.348,-258.911,10573.104,-11497.988,0
584,-3.096,8.805,-11.32,-258.977,10573.29,-11498.226,0
605,-3.15,8.828,-11.336,-259.043,10573.476,-11498.464,0
626,-3.159,8.864,-11.403,-259.109,10573.662,-11498.704,0
646,-3.037,8.928,-11.428,-259.173,10573.85,-11498.944,0
667,-3.018,8.877,-11.387,-259.236,10574.036,-11499.184,0
688,-3.052,8.893,-11.334,-259.301,10574.224,-11499.424,0
709,-3.025,8.89,-11.357,-259.364,10574.41,-11499.662,0
730,-3.031,8.896,-11.348,-259.428,10574.598,-11499.9,0
751,-3.081,8.854,-11.353,-259.493,10574.784,-11500.14,0
772,-3.088,8.839,-11.359,-259.558,10574.97,-11500.378,0
792,-3.068,8.879,-11.368,-259.622,10575.156,-11500.618,0
813,-3.073,8.876,-11.353,-259.687,10575.342,-11500.856,0
834,-3.077,8.76,-11.344,-259.752,10575.526,-11501.094,0
855,-3.114,8.92,-11.264,-259.817,10575.714,-11501.332,0
876,-3.102,8.948,-11.318,-259.882,10575.902,-11501.57,0
897,-3.016,8.878,-11.474,-259.946,10576.09,-11501.812,0
917,-3.002,8.925,-11.39,-260.009,10576.276,-11502.05,0
938,-3.052,8.927,-11.365,-260.073,10576.464,-11502.29,0
959,-3.072,8.865,-11.388,-260.138,10576.65,-11502.53,0
980,-3.066,8.887,-11.372,-260.202,10576.838,-11502.77,0
1001,-3.031,8.896,-11.32,-260.266,10577.024,-11503.008,0
1022,-3.033,8.845,-11.325,-260.33,10577.21,-11503.246,0
1042,-2.982,8.821,-11.347,-260.392,10577.396,-11503.484,0
1063,-2.931,8.889,-11.348,-260.454,10577.582,-11503.722,0
1084,-2.968,8.87,-11.384,-260.516,10577.77,-11503.962,0
1105,-3.12,8.872,-11.302,-260.582,10577.956,-11504.198,0
1126,-3.125,8.851,-11.245,-260.648,10578.142,-11504.436,0
1147,-2.965,8.819,-11.309,-260.71,10578.328,-11504.672,0
1168,-2.812,8.921,-11.35,-260.769,10578.516,-11504.91,0
1188,-2.653,9.141,-11.246,-260.825,10578.708,-11505.146,0
1209,-3.338,9.161,-11.007,-260.895,10578.9,-11505.378,0
1230,-3.244,8.608,-11.144,-260.964,10579.082,-11505.614,0
1251,-3.01,8.258,-11.382,-261.027,10579.256,-11505.854,0
1272,-3.26,8.531,-11.436,-261.095,10579.436,-11506.094,0
1293,-3.458,8.819,-11.47,-261.168,10579.62,-11506.334,0
1313,-3.315,8.974,-11.414,-261.238,10579.81,-11506.574,0
1334,-3.086,8.874,-11.43,-261.303,10579.996,-11506.814,0
1355,-3.116,9.008,-11.472,-261.368,10580.186,-11507.056,0
1376,-3.011,9.295,-11.434,-261.432,10580.38,-11507.296,0
1397,-2.739,9.434,-11.271,-261.489,10580.578,-11507.534,0
1418,-2.515,9.157,-11.214,-261.542,10580.772,-11507.77,0
1438,-2.926,8.777,-11.251,-261.604,10580.956,-11508.006,0
1459,-3.09,8.865,-11.35,-261.669,10581.142,-11508.244,0
1480,-2.943,8.885,-11.362,-261.73,10581.328,-11508.482,0
1501,-2.865,8.885,-11.275,-261.791,10581.516,-11508.72,0
1522,-2.898,8.933,-11.197,-261.852,10581.704,-11508.956,0
1543,-2.907,8.902,-11.161,-261.913,10581.892,-11509.19,0
1564,-2.849,8.92,-11.139,-261.973,10582.078,-11509.424,0
1584,-2.746,8.757,-11.177,-262.031,10582.264,-11509.66,0
1605,-2.892,8.664,-11.198,-262.091,10582.446,-11509.896,0
1626,-3.153,8.709,-11.237,-262.158,10582.63,-11510.132,0
1647,-2.955,8.904,-11.615,-262.22,10582.816,-11510.376,0
1668,-2.787,9.101,-11.546,-262.278,10583.008,-11510.618,0
1689,-2.898,9.156,-11.373,-262.339,10583.2,-11510.858,0
1709,-3.011,8.953,-11.417,-262.403,10583.39,-11511.098,0
1730,-3.021,8.832,-11.371,-262.466,10583.574,-11511.338,0
1751,-2.995,8.731,-11.292,-262.529,10583.758,-11511.574,0
1772,-2.933,8.745,-11.216,-262.591,10583.942,-11511.812,0
1793,-2.915,8.854,-11.149,-262.652,10584.13,-11512.046,0
1814,-2.916,8.939,-11.164,-262.714,10584.316,-11512.28,0
1835,-2.864,8.994,-11.211,-262.774,10584.506,-11512.516,0
1855,-2.733,8.74,-11.406,-262.831,10584.69,-11512.756,0
1876,-2.936,8.451,-11.515,-262.893,10584.868,-11512.998,0
1897,-3.108,8.392,-11.697,-262.958,10585.044,-11513.244,0
1918,-3.308,8.847,-11.71,-263.028,10585.23,-11513.49,0
1939,-3.249,9.17,-11.652,-263.096,10585.422,-11513.734,0
1960,-3.041,8.858,-11.749,-263.16,10585.608,-11513.982,0
1981,-3.211,8.589,-11.771,-263.228,10585.79,-11514.23,0
2001,-3.328,8.732,-11.771,-263.298,10585.974,-11514.476,0
2022,-3.276,8.958,-11.778,-263.367,10586.162,-11514.724,0
2043,-3.061,8.929,-11.842,-263.431,10586.35,-11514.974,0
2064,-2.874,8.872,-11.868,-263.492,10586.536,-11515.224,0
2085,-2.938,8.762,-11.809,-263.553,10586.722,-11515.472,0
2106,-2.933,8.76,-11.752,-263.615,10586.906,-11515.72,0
2126,-2.956,8.815,-11.794,-263.677,10587.092,-11515.968,0
2147,-2.952,8.826,-11.929,-263.739,10587.276,-11516.218,0
2168,-2.912,8.856,-12.048,-263.801,10587.464,-11516.472,0
2189,-2.873,8.948,-12.036,-263.861,10587.652,-11516.724,0
2210,-2.846,9.083,-11.911,-263.921,10587.844,-11516.974,0
2231,-2.84,9.15,-11.784,-263.981,10588.036,-11517.222,1
2251,-2.864,9.078,-11.71,-264.041,10588.226,-11517.468,1
2272,-2.971,8.817,-11.728,-264.103,10588.412,-11517.716,1
2293,-3.0,8.82,-11.917,-264.166,10588.598,-11517.966,1
2314,-2.968,8.906,-12.001,-264.229,10588.784,-11518.22,1
2335,-2.994,8.963,-11.882,-264.292,10588.974,-11518.47,1
2356,-3.015,8.82,-11.792,-264.355,10589.158,-11518.718,1
2377,-2.816,8.887,-11.706,-264.414,10589.346,-11518.964,1
2398,-2.733,8.94,-11.789,-264.472,10589.532,-11519.212,1
2418,-2.839,8.896,-11.891,-264.532,10589.72,-11519.462,1
2439,-3.027,8.842,-11.838,-264.595,10589.906,-11519.71,1
2460,-3.014,8.75,-11.77,-264.659,10590.09,-11519.958,1
2481,-2.959,8.706,-11.777,-264.721,10590.272,-11520.206,1
2502,-2.899,8.763,-11.942,-264.782,10590.456,-11520.456,1
2522,-2.647,8.905,-11.933,-264.838,10590.644,-11520.708,1
2543,-2.697,8.949,-11.86,-264.894,10590.832,-11520.956,1
2564,-2.787,8.893,-11.811,-264.953,10591.02,-11521.204,1
2585,-2.833,8.868,-11.802,-265.013,10591.206,-11521.454,1
2606,-2.794,8.82,-11.86,-265.071,10591.392,-11521.702,1
2627,-2.803,8.836,-11.863,-265.13,10591.576,-11521.952,1
2648,-2.748,8.875,-11.832,-265.188,10591.764,-11522.2,1
2668,-2.683,8.885,-11.882,-265.244,10591.95,-11522.45,1
2689,-2.746,8.883,-11.866,-265.302,10592.136,-11522.7,1
2710,-2.881,8.89,-11.817,-265.363,10592.322,-11522.948,1
2732,-2.809,8.943,-11.856,-265.422,10592.512,-11523.196,1
