timestamp,acc_x,acc_y,acc_z,vel_x,vel_y,vel_z,label
0,-3.582,8.521,-11.26,-478.633,12984.286,-14390.93,0
21,-3.71,8.618,-11.245,-478.711,12984.468,-14391.166,0
42,-3.703,8.677,-11.234,-478.788,12984.65,-14391.402,0
63,-3.668,8.609,-11.229,-478.866,12984.83,-14391.64,0
84,-3.717,8.596,-11.254,-478.944,12985.012,-14391.876,0
104,-3.587,8.733,-11.268,-479.019,12985.194,-14392.112,0
125,-3.492,8.759,-11.251,-479.093,12985.38,-14392.35,0
146,-3.51,8.682,-11.248,-479.167,12985.562,-14392.586,0
167,-3.562,8.708,-11.224,-479.242,12985.746,-14392.822,0
188,-3.665,8.661,-11.157,-479.319,12985.928,-14393.058,0
209,-3.783,8.583,-11.269,-479.398,12986.108,-14393.294,0
230,-3.819,8.668,-11.18,-479.478,12986.29,-14393.53,0
250,-3.702,8.645,-11.231,-479.556,12986.472,-14393.766,0
271,-3.533,8.683,-11.187,-479.631,12986.654,-14394.002,0
292,-3.744,8.699,-11.352,-479.71,12986.838,-14394.24,0
313,-3.73,8.811,-11.327,-479.788,12987.024,-14394.48,0
334,-3.626,8.765,-11.195,-479.864,12987.208,-14394.714,0
355,-3.518,8.667,-11.08,-479.938,12987.392,-14394.948,0
376,-3.302,8.772,-11.154,-480.008,12987.576,-14395.184,0
397,-3.105,9.158,-11.17,-480.073,12987.768,-14395.418,0
417,-3.096,9.378,-10.892,-480.138,12987.966,-14395.646,0
438,-3.567,8.951,-10.578,-480.213,12988.154,-14395.87,0
459,-4.066,7.681,-10.95,-480.299,12988.314,-14396.1,0
480,-4.125,7.692,-11.244,-480.386,12988.478,-14396.336,0
501,-4.291,8.762,-11.062,-480.476,12988.662,-14396.568,0
522,-4.332,8.587,-11.321,-480.567,12988.842,-14396.808,0
542,-3.831,8.705,-11.481,-480.647,12989.024,-14397.048,0
563,-3.402,8.939,-11.326,-480.719,12989.212,-14397.286,0
584,-3.33,8.971,-11.129,-480.789,12989.402,-14397.522,0
605,-3.524,8.907,-10.924,-480.863,12989.59,-14397.752,0
626,-3.731,8.673,-10.94,-480.942,12989.772,-14397.982,0
647,-3.6,8.745,-11.028,-481.018,12989.956,-14398.214,0
668,-3.422,8.734,-10.954,-481.09,12990.14,-14398.444,0
688,-3.349,8.609,-10.826,-481.16,12990.32,-14398.672,0
709,-3.382,8.408,-10.824,-481.231,12990.496,-14398.898,0
731,-3.504,8.376,-11.211,-481.305,12990.674,-14399.136,0
751,-3.523,8.556,-11.33,-481.379,12990.854,-14399.374,0
772,-3.622,8.65,-11.385,-481.455,12991.034,-14399.612,0
793,-3.665,8.595,-11.531,-481.532,12991.216,-14399.854,0
813,-3.725,8.671,-11.603,-481.611,12991.398,-14400.1,0
834,-3.71,8.845,-11.607,-481.689,12991.584,-14400.344,0
855,-3.619,9.045,-11.538,-481.765,12991.774,-14400.586,0
876,-3.415,9.046,-11.487,-481.837,12991.966,-14400.828,0
897,-3.321,9.063,-11.368,-481.907,12992.156,-14401.066,0
918,-3.245,8.881,-11.351,-481.975,12992.342,-14401.306,0
939,-2.877,8.789,-11.341,-482.035,12992.526,-14401.544,0
960,-2.891,8.866,-11.168,-482.096,12992.714,-14401.778,0
980,-3.034,8.576,-11.395,-482.16,12992.894,-14402.018,0
1001,-3.421,8.345,-11.555,-482.232,12993.07,-14402.26,0
1022,-3.68,8.188,-11.651,-482.309,12993.242,-14402.506,0
1043,-3.678,8.151,-11.802,-482.387,12993.414,-14402.754,0
1064,-3.784,8.25,-11.824,-482.466,12993.588,-14403.002,0
1085,-4.012,8.522,-11.796,-482.551,12993.768,-14403.25,0
1105,-4.201,8.802,-11.813,-482.639,12993.952,-14403.498,0
1126,-4.112,8.856,-11.88,-482.725,12994.14,-14403.748,0
1147,-4.048,8.539,-11.991,-482.811,12994.318,-14404.0,0
1168,-3.996,8.581,-11.904,-482.895,12994.5,-14404.252,0
1189,-3.925,8.669,-11.884,-482.977,12994.684,-14404.502,0
1210,-3.761,8.745,-11.809,-483.057,12994.866,-14404.75,0
1231,-3.709,8.577,-11.837,-483.135,12995.048,-14404.998,0
1252,-3.864,8.455,-11.837,-483.216,12995.226,-14405.248,0
1272,-3.93,8.437,-11.853,-483.298,12995.402,-14405.496,0
1293,-3.906,8.589,-11.874,-483.381,12995.584,-14405.746,0
1314,-3.756,8.632,-11.77,-483.46,12995.766,-14405.996,1
1335,-3.741,8.556,-11.652,-483.538,12995.946,-14406.24,1
1356,-3.818,8.469,-11.585,-483.619,12996.124,-14406.484,1
1377,-3.827,8.192,-11.725,-483.699,12996.296,-14406.73,1
1397,-3.826,8.211,-11.807,-483.78,12996.468,-14406.978,1
1418,-3.854,8.34,-11.779,-483.861,12996.644,-14407.226,1
1439,-3.856,8.455,-11.759,-483.942,12996.822,-14407.474,1
