timestamp,acc_x,acc_y,acc_z,vel_x,vel_y,vel_z,label
0,2.753,9.211,-11.064,-463.941,13099.546,-14532.13,0
21,2.575,9.015,-11.103,-463.887,13099.736,-14532.364,0
42,2.508,8.948,-11.035,-463.834,13099.926,-14532.598,0
63,2.549,8.924,-10.981,-463.781,13100.112,-14532.828,0
84,2.561,8.862,-10.929,-463.727,13100.3,-14533.058,0
104,2.515,8.871,-10.949,-463.674,13100.486,-14533.288,0
125,2.389,8.969,-11.02,-463.624,13100.674,-14533.52,0
146,2.406,9.007,-11.006,-463.573,13100.864,-14533.75,0
167,2.444,9.029,-11.025,-463.522,13101.054,-14533.982,0
188,2.45,9.075,-11.081,-463.47,13101.244,-14534.216,0
208,2.441,9.101,-11.159,-463.419,13101.436,-14534.45,0
229,2.381,9.116,-11.19,-463.369,13101.626,-14534.686,0
250,2.488,9.17,-11.177,-463.316,13101.818,-14534.92,0
271,2.534,9.132,-11.245,-463.263,13102.012,-14535.156,0
292,2.485,9.051,-11.259,-463.211,13102.202,-14535.394,0
313,2.491,9.013,-11.282,-463.158,13102.392,-14535.632,0
334,2.457,9.013,-11.339,-463.106,13102.582,-14535.87,0
354,2.351,9.048,-11.391,-463.057,13102.772,-14536.108,0
375,2.347,9.097,-11.399,-463.008,13102.964,-14536.348,0
397,2.444,9.061,-11.469,-462.956,13103.154,-14536.59,0
417,2.316,9.0,-11.507,-462.908,13103.344,-14536.832,0
438,2.261,8.934,-11.44,-462.86,13103.532,-14537.072,0
459,2.155,9.092,-11.452,-462.815,13103.724,-14537.314,0
480,2.097,9.17,-11.427,-462.77,13103.916,-14537.554,0
501,2.222,9.003,-11.554,-462.724,13104.104,-14537.798,0
521,2.365,9.001,-11.417,-462.674,13104.294,-14538.038,0
542,2.673,8.949,-11.594,-462.618,13104.482,-14538.282,0
563,2.602,9.057,-11.508,-462.563,13104.674,-14538.524,0
584,2.344,9.08,-11.422,-462.514,13104.864,-14538.766,0
605,2.22,9.096,-11.421,-462.467,13105.058,-14539.006,0
626,2.22,9.055,-11.482,-462.42,13105.248,-14539.248,0
647,2.136,9.115,-11.458,-462.375,13105.438,-14539.488,0
667,2.094,9.216,-11.431,-462.331,13105.632,-14539.73,0
688,2.032,9.288,-11.423,-462.288,13105.828,-14539.97,0
710,1.931,9.304,-11.373,-462.248,13106.022,-14540.208,0
730,1.857,9.272,-11.496,-462.209,13106.218,-14540.45,0
751,1.773,9.3,-11.529,-462.171,13106.414,-14540.694,0
772,1.716,9.323,-11.385,-462.135,13106.61,-14540.934,0
793,1.912,9.295,-11.412,-462.095,13106.806,-14541.174,0
814,2.064,9.258,-11.528,-462.052,13107.0,-14541.416,0
834,2.071,9.221,-11.428,-462.008,13107.194,-14541.656,0
855,2.161,9.157,-11.437,-461.963,13107.388,-14541.896,0
876,2.226,9.177,-11.417,-461.916,13107.58,-14542.136,0
897,2.147,9.07,-11.421,-461.87,13107.772,-14542.378,0
918,2.137,9.066,-11.436,-461.826,13107.962,-14542.618,0
939,2.129,9.038,-11.417,-461.781,13108.152,-14542.858,0
959,2.211,8.971,-11.451,-461.734,13108.342,-14543.1,0
980,2.239,8.947,-11.425,-461.687,13108.53,-14543.34,1
1001,2.262,8.977,-11.322,-461.64,13108.718,-14543.578,1
1022,2.267,9.008,-11.196,-461.592,13108.908,-14543.812,1
1043,2.17,9.101,-11.165,-461.546,13109.1,-14544.048,1
1064,1.849,9.125,-11.25,-461.507,13109.29,-14544.284,1
1084,1.728,9.125,-11.402,-461.471,13109.482,-14544.524,1
1105,2.062,9.21,-11.513,-461.428,13109.676,-14544.766,1
1126,2.219,9.278,-11.466,-461.381,13109.87,-14545.008,1
1147,2.213,9.364,-11.337,-461.335,13110.068,-14545.246,1
1168,2.261,9.4,-11.281,-461.287,13110.266,-14545.484,1
1189,2.246,9.242,-11.236,-461.24,13110.46,-14545.72,1
1210,2.209,9.082,-11.24,-461.193,13110.652,-14545.956,1
1231,2.184,8.937,-11.375,-461.147,13110.84,-14546.196,1
1251,2.095,8.957,-11.327,-461.103,13111.028,-14546.434,1
1272,2.019,8.951,-11.269,-461.061,13111.216,-14546.672,1
1293,2.048,9.11,-11.17,-461.018,13111.408,-14546.906,1
1314,2.257,9.08,-11.368,-460.97,13111.6,-14547.146,1
1335,2.302,9.165,-11.28,-460.922,13111.792,-14547.382,1
1356,2.275,9.164,-11.294,-460.874,13111.984,-14547.62,1
1377,2.241,9.147,-11.293,-460.827,13112.176,-14547.856,1
1397,2.17,9.1,-11.311,-460.781,13112.368,-14548.096,1
1418,2.135,9.032,-11.245,-460.736,13112.558,-14548.332,1
1439,2.165,9.005,-11.213,-460.691,13112.746,-14548.566,1
1460,2.18,9.042,-11.14,-460.645,13112.938,-14548.802,1
1481,2.234,9.134,-11.179,-460.598,13113.13,-14549.036,1
1501,2.252,9.162,-11.241,-460.551,13113.322,-14549.272,1
1522,2.192,9.121,-11.174,-460.505,13113.514,-14549.508,1
1543,2.258,9.078,-11.151,-460.457,13113.704,-14549.742,1
1564,2.237,9.127,-11.251,-460.41,13113.896,-14549.98,1
1585,2.197,9.125,-11.141,-460.364,13114.088,-14550.214,1
1606,2.262,9.095,-11.162,-460.316,13114.28,-14550.45,1
1627,2.287,9.148,-11.215,-460.268,13114.474,-14550.686,1
1648,2.284,9.203,-11.15,-460.22,13114.666,-14550.92,1
1669,2.256,9.186,-11.058,-460.172,13114.86,-14551.152,1
1689,2.232,9.041,-11.065,-460.126,13115.05,-14551.384,1
1710,2.192,9.045,-11.006,-460.079,13115.24,-14551.616,1
1731,2.205,9.06,-11.071,-460.033,13115.432,-14551.848,1
1752,2.347,9.121,-11.064,-459.983,13115.624,-14552.082,1
1773,2.332,9.07,-11.064,-459.934,13115.814,-14552.314,1
1794,2.228,9.128,-11.164,-459.888,13116.006,-14552.548,1
1815,2.242,9.183,-11.193,-459.84,13116.2,-14552.784,1
1835,2.283,9.144,-11.194,-459.792,13116.392,-14553.02,1
1856,2.336,9.123,-11.198,-459.743,13116.584,-14553.254,1
1877,2.328,9.079,-11.247,-459.694,13116.774,-14553.49,1
1898,2.279,9.118,-11.152,-459.646,13116.966,-14553.726,1
1919,2.319,9.122,-11.143,-459.598,13117.158,-14553.96,1
1940,2.301,9.125,-11.147,-459.549,13117.35,-14554.194,1
1960,2.29,9.103,-11.12,-459.501,13117.54,-14554.428,1
1981,2.353,9.099,-11.094,-459.452,13117.732,-14554.662,1
2002,2.316,9.058,-11.194,-459.403,13117.922,-14554.896,1
2023,2.17,9.163,-11.143,-459.357,13118.114,-14555.132,1
2044,2.281,9.168,-11.311,-459.309,13118.308,-14555.37,1
2065,2.335,9.162,-11.356,-459.26,13118.5,-14555.608,1
2086,2.305,9.161,-11.17,-459.212,13118.692,-14555.844,1
2106,2.295,9.128,-11.234,-459.163,13118.884,-14556.08,1
2127,2.225,9.125,-11.28,-459.117,13119.076,-14556.316,1
2148,2.21,9.144,-11.306,-459.07,13119.268,-14556.554,1
2169,2.286,9.129,-11.259,-459.022,13119.46,-14556.792,1
2190,2.241,9.035,-11.196,-458.975,13119.65,-14557.026,1
2211,2.205,9.114,-11.263,-458.929,13119.842,-14557.264,1
2232,2.225,9.179,-11.293,-458.882,13120.036,-14557.502,1
2252,2.234,9.145,-11.301,-458.835,13120.228,-14557.738,1
2273,2.185,9.071,-11.175,-458.789,13120.418,-14557.974,1
2294,2.269,9.056,-11.294,-458.741,13120.608,-14558.212,1
2315,2.299,9.143,-11.318,-458.693,13120.802,-14558.45,1
2336,2.295,9.116,-11.27,-458.645,13120.992,-14558.688,1
2357,2.255,9.092,-11.224,-458.597,13121.184,-14558.924,1
2377,2.252,9.094,-11.251,-458.55,13121.376,-14559.16,1
2398,2.214,9.15,-11.292,-458.503,13121.568,-14559.396,1
2419,2.204,9.209,-11.209,-458.457,13121.762,-14559.632,1
2440,2.252,9.171,-11.226,-458.41,13121.954,-14559.868,1
2461,2.233,9.2,-11.252,-458.363,13122.148,-14560.104,1
2482,2.176,9.19,-11.259,-458.317,13122.342,-14560.342,1
2503,2.183,9.077,-11.281,-458.271,13122.532,-14560.578,1
2523,2.127,9.103,-11.211,-458.226,13122.724,-14560.814,1
2544,2.161,9.102,-11.224,-458.181,13122.914,-14561.05,1
2565,2.223,9.058,-11.268,-458.134,13123.104,-14561.288,1
2586,2.182,9.089,-11.263,-458.088,13123.298,-14561.526,1
2607,2.205,9.139,-11.292,-458.042,13123.49,-14561.764,1
2628,2.267,9.134,-11.199,-457.994,13123.682,-14561.998,1
2649,2.214,9.171,-11.211,-457.947,13123.874,-14562.234,1
2669,2.195,9.156,-11.243,-457.901,13124.066,-14562.47,1
2690,2.228,9.069,-11.275,-457.854,13124.258,-14562.708,1
2711,2.283,9.07,-11.296,-457.806,13124.448,-14562.944,1
2732,2.296,9.033,-11.388,-457.758,13124.638,-14563.186,1
2753,2.233,9.107,-11.271,-457.711,13124.83,-14563.422,1
2774,2.301,9.07,-11.253,-457.662,13125.02,-14563.658,1
2795,2.339,8.998,-11.283,-457.613,13125.21,-14563.896,1
2815,2.245,9.075,-11.222,-457.566,13125.4,-14564.132,1
2836,1.958,9.209,-11.196,-457.525,13125.594,-14564.368,1
2857,2.135,9.147,-11.316,-457.48,13125.786,-14564.606,1
2878,2.241,9.122,-11.412,-457.433,13125.978,-14564.848,1
2899,2.231,9.141,-11.348,-457.386,13126.17,-14565.086,1
2920,2.256,9.158,-11.353,-457.338,13126.362,-14565.324,1
2941,2.302,9.109,-11.341,-457.29,13126.554,-14565.562,1
2961,2.253,9.095,-11.282,-457.243,13126.746,-14565.8,1
2982,2.194,9.014,-11.307,-457.196,13126.936,-14566.036,1
3003,2.208,9.052,-11.321,-457.15,13127.126,-14566.274,1
3024,2.216,9.083,-11.298,-457.103,13127.316,-14566.514,1
3045,2.241,9.099,-11.264,-457.056,13127.508,-14566.75,1
3066,1.934,9.143,-11.343,-457.015,13127.7,-14566.988,1
3086,2.003,9.167,-11.384,-456.973,13127.894,-14567.228,1
3107,2.091,9.138,-11.289,-456.929,13128.086,-14567.466,1
3128,2.098,9.161,-11.396,-456.885,13128.278,-14567.704,1
3149,2.201,9.173,-11.438,-456.839,13128.472,-14567.944,1
3170,2.28,9.027,-11.371,-456.791,13128.66,-14568.184,1
3191,2.272,8.943,-11.399,-456.743,13128.85,-14568.424,1
3212,2.272,8.898,-11.362,-456.695,13129.036,-14568.662,1
3232,2.377,8.999,-11.433,-456.645,13129.226,-14568.902,1
3253,2.445,9.153,-11.525,-456.594,13129.418,-14569.146,1
3274,2.152,9.306,-11.691,-456.549,13129.614,-14569.392,1
3295,1.778,9.299,-11.786,-456.511,13129.81,-14569.64,1
3316,1.869,9.259,-11.935,-456.472,13130.004,-14569.892,1
3337,1.931,9.267,-11.813,-456.431,13130.2,-14570.14,1
3358,2.53,9.284,-11.889,-456.378,13130.396,-14570.39,1
3378,2.192,8.554,-11.71,-456.332,13130.574,-14570.636,1
3399,2.707,8.639,-11.598,-456.275,13130.756,-14570.88,1
3420,2.796,8.64,-11.863,-456.216,13130.938,-14571.128,1
3441,2.635,8.86,-11.964,-456.161,13131.124,-14571.38,1
3462,2.487,8.985,-11.832,-456.109,13131.312,-14571.63,1
3483,2.309,9.019,-11.759,-456.06,13131.502,-14571.876,1
3504,2.294,9.058,-11.787,-456.012,13131.692,-14572.124,1
3525,2.426,9.075,-11.721,-455.961,13131.884,-14572.37,1
3545,2.398,9.035,-11.68,-455.91,13132.074,-14572.616,1
3566,2.392,9.045,-11.72,-455.86,13132.264,-14572.862,1
3587,2.354,8.985,-11.623,-455.811,13132.452,-14573.106,1
3608,2.386,8.941,-11.549,-455.76,13132.64,-14573.35,1
3629,2.431,9.043,-11.502,-455.709,13132.83,-14573.592,0
3649,2.545,9.116,-11.555,-455.656,13133.022,-14573.834,0
3670,2.599,9.18,-11.5,-455.601,13133.216,-14574.076,0
3691,2.623,9.101,-11.475,-455.546,13133.406,-14574.318,0
3712,2.392,8.925,-11.602,-455.496,13133.594,-14574.562,0
3733,2.522,8.945,-11.497,-455.443,13133.782,-14574.804,0
3754,2.913,8.769,-11.241,-455.381,13133.968,-14575.04,0
3775,3.13,8.92,-10.631,-455.316,13134.154,-14575.264,0
3795,2.932,9.825,-9.019,-455.254,13134.362,-14575.454,0
3816,2.346,10.742,-6.728,-455.205,13134.588,-14575.596,0
3837,3.005,10.132,-5.694,-455.141,13134.8,-14575.716,0
3858,3.877,9.78,-5.107,-455.06,13135.006,-14575.822,0
3879,3.44,9.237,-4.61,-454.988,13135.2,-14575.92,0
3900,3.124,8.412,-4.848,-454.922,13135.378,-14576.022,0
3920,2.932,4.962,-4.799,-454.86,13135.482,-14576.122,0
3941,2.656,4.465,-3.669,-454.804,13135.576,-14576.198,0
3962,2.549,4.285,-3.099,-454.751,13135.666,-14576.264,0
3983,2.357,3.336,-3.042,-454.701,13135.736,-14576.328,0
4004,2.374,3.091,-3.505,-454.651,13135.802,-14576.402,0
4025,1.92,2.784,-3.684,-454.611,13135.86,-14576.48,0
4046,2.472,2.255,-3.656,-454.559,13135.908,-14576.556,0
4066,4.594,2.05,-3.767,-454.462,13135.95,-14576.636,0
4087,6.07,3.359,-3.058,-454.334,13136.022,-14576.7,0
4108,5.162,4.042,-1.017,-454.226,13136.106,-14576.722,0
4129,6.097,1.625,2.819,-454.097,13136.14,-14576.662,0
4150,7.196,-0.128,2.169,-453.946,13136.138,-14576.616,0
4171,6.201,1.473,1.895,-453.816,13136.168,-14576.576,0
4191,4.22,1.44,1.325,-453.727,13136.198,-14576.548,0
4212,4.267,0.72,1.559,-453.637,13136.214,-14576.516,0
4233,5.176,0.533,1.385,-453.528,13136.224,-14576.486,0
4254,3.784,0.779,0.475,-453.449,13136.24,-14576.476,0
4275,3.004,0.169,-1.063,-453.386,13136.244,-14576.498,0
4296,3.145,-0.716,-1.088,-453.32,13136.23,-14576.522,0
4317,2.901,-1.169,0.36,-453.259,13136.206,-14576.514,0
4337,3.589,1.044,2.997,-453.183,13136.228,-14576.45,0
4358,0.124,-1.342,0.075,-453.18,13136.198,-14576.448,0
4379,1.028,1.398,-0.085,-453.159,13136.228,-14576.45,0
4402,-0.721,0.396,-0.445,-453.174,13136.236,-14576.46,0
4421,-0.542,-0.648,-1.057,-453.186,13136.224,-14576.482,0
4442,0.016,-0.836,-0.058,-453.185,13136.206,-14576.482,0
4463,0.688,-0.939,-0.109,-453.171,13136.186,-14576.484,0
4483,0.122,-0.319,-0.029,-453.168,13136.18,-14576.486,0
4504,0.032,-0.015,-0.116,-453.167,13136.18,-14576.488,0
4525,0.011,-0.045,-0.113,-453.167,13136.178,-14576.49,0
4546,0.043,-0.098,-0.089,-453.166,13136.176,-14576.492,0
4567,0.054,0.035,-0.099,-453.165,13136.178,-14576.494,0
4588,0.087,-0.019,-0.115,-453.163,13136.178,-14576.496,0
4609,0.146,-0.053,-0.183,-453.16,13136.176,-14576.5,0
4629,0.137,-0.076,-0.104,-453.157,13136.174,-14576.502,0
4650,0.057,-0.021,-0.181,-453.156,13136.174,-14576.506,0
4671,0.046,0.008,-0.088,-453.155,13136.174,-14576.508,0
4692,0.051,0.027,-0.144,-453.154,13136.176,-14576.512,0
4713,0.029,-0.047,-0.13,-453.153,13136.174,-14576.514,0
4734,0.036,-0.085,-0.146,-453.153,13136.172,-14576.518,0
4755,0.086,-0.059,-0.152,-453.151,13136.172,-14576.52,0
4775,0.081,-0.029,-0.07,-453.149,13136.17,-14576.522,0
4796,0.087,0.015,-0.03,-453.147,13136.17,-14576.522,0
4817,0.109,-0.006,-0.073,-453.145,13136.17,-14576.524,0
4838,0.066,-0.062,-0.053,-453.144,13136.17,-14576.526,0
4859,0.04,-0.06,-0.063,-453.143,13136.168,-14576.526,0
4880,0.045,-0.011,-0.035,-453.142,13136.168,-14576.528,0
4901,0.017,-0.018,0.0,-453.142,13136.168,-14576.528,0
4922,0.009,-0.016,-0.063,-453.141,13136.168,-14576.528,0
4942,0.084,-0.012,-0.018,-453.14,13136.168,-14576.528,0
4963,0.109,0.005,-0.061,-453.137,13136.168,-14576.53,0
4984,0.109,-0.013,-0.038,-453.135,13136.168,-14576.53,0
5005,0.118,-0.034,-0.077,-453.132,13136.168,-14576.532,0
5026,0.063,-0.115,-0.111,-453.131,13136.166,-14576.534,0
5047,0.019,-0.081,0.049,-453.131,13136.164,-14576.534,0
5067,-0.042,0.115,-0.064,-453.132,13136.166,-14576.534,0
5088,-0.051,0.065,-0.005,-453.133,13136.166,-14576.534,0
