timestamp,acc_x,acc_y,acc_z,vel_x,vel_y,vel_z,label
0,3.618,8.243,-12.878,17.963,75.745,-99.688,0
21,3.622,8.14,-12.833,18.039,75.916,-99.957,0
42,3.572,8.089,-12.928,18.114,76.086,-100.228,0
63,3.642,8.308,-12.982,18.191,76.26,-100.501,0
84,3.656,8.164,-12.858,18.268,76.432,-100.771,0
105,3.65,8.003,-12.818,18.344,76.6,-101.04,0
125,3.555,8.132,-12.919,18.419,76.771,-101.311,0
146,3.549,8.241,-13.024,18.493,76.944,-101.585,0
167,3.691,8.22,-13.071,18.571,77.116,-101.86,0
188,3.908,7.958,-13.009,18.653,77.284,-102.133,0
209,3.726,7.868,-12.961,18.731,77.449,-102.405,0
229,3.728,8.082,-12.891,18.81,77.619,-102.676,0
250,3.752,8.26,-12.933,18.889,77.792,-102.948,0
271,3.824,8.215,-12.827,18.969,77.965,-103.217,0
292,3.769,8.118,-12.855,19.048,78.135,-103.487,0
313,3.735,8.066,-12.873,19.126,78.305,-103.757,0
333,3.804,8.036,-12.826,19.206,78.473,-104.027,0
354,3.853,8.158,-12.826,19.287,78.645,-104.296,0
375,3.762,8.154,-12.86,19.366,78.816,-104.566,0
396,3.73,8.129,-12.82,19.445,78.987,-104.836,0
417,3.661,7.96,-12.759,19.522,79.154,-105.104,0
438,3.655,8.146,-12.809,19.598,79.325,-105.373,0
458,3.715,8.216,-12.858,19.677,79.498,-105.643,0
479,3.756,8.202,-12.92,19.755,79.67,-105.914,0
501,3.718,8.221,-12.922,19.833,79.843,-106.186,0
521,3.717,8.168,-12.809,19.911,80.014,-106.455,0
542,3.677,8.116,-12.821,19.989,80.185,-106.724,0
563,3.818,8.1,-12.629,20.069,80.355,-106.989,0
583,3.862,8.152,-12.587,20.15,80.527,-107.254,0
604,3.798,8.224,-12.715,20.23,80.699,-107.521,0
625,3.807,8.228,-12.831,20.31,80.872,-107.791,0
646,3.856,8.022,-12.675,20.391,81.04,-108.057,0
667,3.788,8.116,-12.605,20.47,81.211,-108.322,0
687,3.822,8.096,-12.6,20.551,81.381,-108.586,0
708,3.821,8.236,-12.634,20.631,81.554,-108.851,0
729,3.811,8.246,-12.686,20.711,81.727,-109.118,0
750,3.863,8.066,-12.695,20.792,81.896,-109.384,0
771,3.9,7.995,-12.623,20.874,82.064,-109.649,0
792,3.826,8.026,-12.556,20.954,82.233,-109.913,0
812,3.777,8.135,-12.596,21.034,82.404,-110.179,0
833,3.809,8.298,-12.564,21.114,82.578,-110.442,0
854,3.787,8.024,-12.527,21.193,82.747,-110.706,0
875,3.864,8.061,-12.485,21.275,82.916,-110.968,0
896,3.833,8.063,-12.455,21.355,83.086,-111.23,0
917,3.845,8.166,-12.592,21.436,83.257,-111.494,0
937,3.715,8.254,-12.74,21.514,83.431,-111.762,0
958,3.754,8.176,-12.701,21.593,83.603,-112.029,0
979,3.886,8.073,-12.666,21.675,83.772,-112.295,0
1000,3.898,8.024,-12.607,21.757,83.941,-112.56,0
1021,3.842,8.246,-12.602,21.837,84.114,-112.825,0
1041,3.777,8.329,-12.719,21.917,84.289,-113.092,0
1062,3.869,8.094,-12.713,21.998,84.459,-113.359,0
1083,3.805,8.093,-12.623,22.078,84.629,-113.624,0
1104,3.819,8.109,-12.591,22.158,84.799,-113.889,0
1125,3.798,8.216,-12.628,22.238,84.972,-114.154,0
1145,3.777,8.195,-12.699,22.317,85.144,-114.42,0
1166,3.777,8.194,-12.672,22.396,85.316,-114.686,0
1189,3.784,8.19,-12.616,22.476,85.488,-114.951,0
1208,3.8,8.102,-12.604,22.556,85.658,-115.216,0
1229,3.822,8.055,-12.648,22.636,85.827,-115.481,0
1250,3.82,8.161,-12.678,22.716,85.999,-115.748,0
1270,3.882,8.264,-12.717,22.797,86.172,-116.015,1
1291,3.838,8.169,-12.718,22.878,86.344,-116.282,1
1312,3.74,8.176,-12.559,22.957,86.515,-116.546,1
1333,3.777,8.125,-12.605,23.036,86.686,-116.81,1
1354,3.793,8.158,-12.675,23.116,86.857,-117.076,1
1374,3.82,8.136,-12.679,23.196,87.028,-117.343,1
1395,3.813,8.147,-12.686,23.276,87.2,-117.61,1
1416,3.757,8.207,-12.597,23.355,87.372,-117.874,1
1437,3.677,8.195,-12.641,23.432,87.544,-118.14,1
1458,3.601,8.165,-12.708,23.508,87.716,-118.407,1
1479,3.701,8.172,-12.662,23.586,87.887,-118.673,1
1499,3.823,8.133,-12.608,23.666,88.058,-118.938,1
1520,3.704,8.183,-12.755,23.744,88.23,-119.205,1
1541,3.7,8.182,-12.662,23.821,88.402,-119.472,1
1562,3.674,8.218,-12.684,23.899,88.575,-119.738,1
1583,3.795,8.182,-12.734,23.978,88.746,-120.005,1
1603,4.0,8.264,-12.61,24.062,88.92,-120.27,1
1624,4.209,8.16,-12.414,24.151,89.091,-120.531,1
1645,3.954,7.933,-12.252,24.234,89.258,-120.789,1
1666,4.026,7.552,-11.889,24.318,89.417,-121.038,1
1687,2.266,8.749,-13.746,24.366,89.601,-121.327,1
1708,4.238,8.332,-13.439,24.455,89.776,-121.609,1
1728,3.351,8.897,-13.091,24.526,89.963,-121.884,1
1749,3.814,7.782,-12.193,24.606,90.126,-122.141,1
1770,4.15,7.129,-12.349,24.693,90.276,-122.4,1
