timestamp,acc_x,acc_y,acc_z,vel_x,vel_y,vel_z,label
0,1.205,9.347,-10.168,55.88,487.437,-551.368,0
21,1.315,9.585,-10.122,55.907,487.638,-551.581,0
42,1.153,9.381,-10.001,55.932,487.835,-551.791,0
63,1.084,9.373,-10.04,55.954,488.032,-552.002,0
83,1.285,9.423,-9.973,55.981,488.23,-552.211,0
104,1.253,9.463,-10.035,56.008,488.429,-552.422,0
125,1.12,9.412,-10.12,56.031,488.627,-552.636,0
146,1.024,9.373,-10.068,56.053,488.824,-552.847,0
167,1.079,9.252,-10.027,56.076,489.018,-553.058,0
188,1.139,9.139,-10.077,56.099,489.21,-553.269,0
208,1.025,9.15,-10.054,56.121,489.402,-553.481,0
229,0.96,9.255,-10.032,56.141,489.597,-553.691,0
250,1.036,9.173,-10.015,56.163,489.789,-553.901,0
271,1.14,9.147,-10.066,56.187,489.981,-554.113,0
292,0.933,9.375,-9.924,56.206,490.179,-554.322,0
312,1.186,9.283,-9.864,56.231,490.374,-554.529,0
333,1.307,9.267,-10.024,56.259,490.568,-554.74,0
354,1.096,9.393,-10.007,56.282,490.766,-554.95,0
375,1.124,9.287,-9.934,56.306,490.961,-555.159,0
396,0.931,9.213,-9.973,56.325,491.154,-555.368,0
417,0.942,9.232,-10.222,56.345,491.348,-555.583,0
437,0.976,9.276,-10.12,56.365,491.543,-555.795,0
458,0.8,9.404,-10.099,56.382,491.74,-556.007,0
479,0.958,9.455,-10.286,56.402,491.939,-556.224,0
500,1.03,9.476,-10.25,56.424,492.138,-556.439,0
521,1.125,9.315,-10.257,56.448,492.334,-556.654,0
542,1.116,9.238,-10.272,56.471,492.528,-556.87,0
562,0.982,9.235,-10.252,56.492,492.722,-557.085,0
583,0.907,9.174,-10.396,56.511,492.915,-557.304,0
604,0.871,9.215,-10.461,56.529,493.108,-557.523,0
625,0.857,9.284,-10.404,56.547,493.303,-557.742,0
646,0.883,9.221,-10.509,56.565,493.497,-557.962,0
666,0.842,9.292,-10.559,56.583,493.692,-558.184,0
687,0.85,9.636,-10.747,56.601,493.894,-558.41,0
708,0.964,9.747,-10.863,56.621,494.099,-558.638,0
729,0.947,9.832,-10.953,56.641,494.306,-558.869,0
750,1.082,9.708,-11.006,56.664,494.51,-559.1,0
771,1.134,9.53,-10.821,56.688,494.71,-559.327,0
791,1.034,9.292,-10.73,56.709,494.905,-559.552,0
812,0.961,8.992,-10.814,56.73,495.094,-559.779,0
833,0.875,8.927,-10.79,56.748,495.282,-560.007,0
854,0.906,8.893,-10.758,56.767,495.469,-560.233,0
875,0.78,8.941,-10.573,56.783,495.657,-560.455,0
895,0.512,9.087,-10.494,56.794,495.847,-560.675,0
916,0.592,9.37,-10.545,56.807,496.044,-560.897,0
937,0.491,9.534,-10.473,56.817,496.245,-561.117,0
958,0.458,9.579,-10.466,56.827,496.447,-561.338,0
979,0.503,9.469,-10.566,56.837,496.645,-561.559,0
1000,0.564,9.559,-10.566,56.849,496.846,-561.781,0
1020,0.678,9.625,-10.542,56.863,497.048,-562.003,0
1041,0.805,9.775,-10.468,56.88,497.254,-562.223,0
1062,0.74,9.611,-10.58,56.896,497.456,-562.445,0
1083,0.686,9.498,-10.776,56.91,497.656,-562.672,0
1104,0.715,9.534,-10.747,56.925,497.856,-562.898,0
1125,0.846,9.418,-10.774,56.943,498.054,-563.124,0
