timestamp,acc_x,acc_y,acc_z,vel_x,vel_y,vel_z,label
0,0.945,9.643,-11.48,183.24,1357.17,-1604.38,0
21,0.492,9.454,-11.674,183.251,1357.368,-1604.625,0
42,0.443,8.94,-11.799,183.26,1357.556,-1604.873,0
63,0.461,8.609,-11.654,183.27,1357.737,-1605.118,0
84,0.437,9.053,-11.593,183.279,1357.928,-1605.362,0
105,0.488,9.405,-11.627,183.289,1358.126,-1605.607,0
125,0.435,9.37,-11.722,183.298,1358.322,-1605.853,0
146,0.433,9.206,-11.744,183.307,1358.516,-1606.1,0
167,0.451,9.118,-11.612,183.317,1358.707,-1606.344,0
188,0.518,9.044,-11.604,183.328,1358.898,-1606.588,0
209,0.383,9.384,-11.661,183.336,1359.095,-1606.833,0
230,0.311,9.29,-11.632,183.342,1359.29,-1607.077,0
250,0.511,9.263,-11.701,183.353,1359.485,-1607.323,0
271,0.641,9.33,-11.719,183.367,1359.681,-1607.57,0
292,0.528,9.336,-11.727,183.378,1359.877,-1607.816,0
313,0.43,9.113,-11.749,183.387,1360.069,-1608.063,0
334,0.375,9.126,-11.678,183.395,1360.261,-1608.309,0
355,0.369,9.215,-11.698,183.402,1360.454,-1608.555,0
375,0.416,9.219,-11.734,183.411,1360.648,-1608.801,0
396,0.501,9.108,-11.714,183.422,1360.84,-1609.048,0
417,0.527,9.296,-11.734,183.433,1361.035,-1609.294,0
438,0.424,9.186,-11.782,183.442,1361.228,-1609.542,0
459,0.336,9.067,-11.807,183.449,1361.419,-1609.79,0
480,0.325,9.208,-11.837,183.455,1361.612,-1610.039,0
500,0.413,9.235,-11.782,183.464,1361.807,-1610.287,0
521,0.369,9.264,-11.71,183.472,1362.001,-1610.533,0
542,0.433,9.224,-11.761,183.481,1362.195,-1610.78,0
563,0.375,9.194,-11.696,183.489,1362.388,-1611.026,0
584,0.379,9.075,-11.737,183.497,1362.579,-1611.273,0
605,0.355,9.147,-11.734,183.504,1362.772,-1611.519,0
625,0.358,9.29,-11.821,183.512,1362.967,-1611.768,0
646,0.308,9.289,-11.917,183.518,1363.162,-1612.018,0
667,0.321,9.199,-11.873,183.525,1363.356,-1612.268,0
688,0.455,9.169,-11.795,183.535,1363.548,-1612.516,0
709,0.367,9.078,-11.704,183.542,1363.739,-1612.762,0
731,0.277,9.153,-11.789,183.548,1363.932,-1613.01,0
751,0.196,9.209,-11.816,183.552,1364.125,-1613.258,0
771,0.282,9.165,-11.838,183.558,1364.318,-1613.508,0
792,0.214,9.179,-11.823,183.563,1364.511,-1613.757,0
813,0.265,9.129,-11.832,183.568,1364.703,-1614.005,0
834,0.267,9.26,-11.815,183.574,1364.898,-1614.254,0
855,0.326,9.263,-11.825,183.581,1365.093,-1614.502,0
876,0.247,9.071,-11.832,183.586,1365.284,-1614.751,0
896,0.221,9.151,-11.908,183.591,1365.476,-1615.002,0
917,0.214,9.244,-11.916,183.595,1365.67,-1615.252,0
938,0.237,9.242,-11.854,183.6,1365.865,-1615.501,0
959,0.267,9.101,-11.792,183.606,1366.056,-1615.749,0
980,0.199,9.202,-11.778,183.61,1366.249,-1615.997,0
1001,0.217,9.223,-11.771,183.614,1366.443,-1616.244,0
1021,0.186,9.217,-11.852,183.618,1366.637,-1616.493,0
