timestamp,acc_x,acc_y,acc_z,vel_x,vel_y,vel_z,label
0,3.02,8.882,-12.153,123.197,1990.57,-2365.435,0
21,3.312,8.947,-12.09,123.267,1990.758,-2365.689,0
42,3.32,8.728,-12.007,123.336,1990.941,-2365.942,0
63,3.068,8.675,-11.967,123.401,1991.124,-2366.193,0
83,2.921,8.649,-11.931,123.462,1991.306,-2366.444,0
104,2.933,8.642,-12.019,123.524,1991.487,-2366.697,0
125,2.818,8.788,-11.969,123.583,1991.672,-2366.949,0
146,2.717,8.592,-12.094,123.64,1991.853,-2367.203,0
167,2.72,8.469,-12.039,123.697,1992.031,-2367.456,0
187,2.881,8.519,-12.024,123.758,1992.21,-2367.709,0
208,2.934,8.556,-12.13,123.82,1992.39,-2367.964,0
229,2.82,8.796,-12.154,123.879,1992.575,-2368.22,0
250,2.797,8.696,-12.185,123.938,1992.757,-2368.475,0
271,2.846,8.535,-12.1,123.998,1992.937,-2368.73,0
292,2.821,8.482,-12.083,124.057,1993.115,-2368.984,0
313,2.784,8.457,-12.16,124.115,1993.293,-2369.24,0
333,2.761,8.472,-12.232,124.173,1993.471,-2369.496,0
354,2.681,8.442,-12.297,124.23,1993.648,-2369.755,0
375,2.536,8.501,-12.289,124.283,1993.827,-2370.013,0
396,2.501,8.64,-12.332,124.336,1994.008,-2370.272,0
417,2.572,8.844,-12.413,124.39,1994.194,-2370.533,0
437,2.445,8.953,-12.513,124.441,1994.382,-2370.796,0
458,2.127,8.901,-12.714,124.486,1994.569,-2371.063,0
479,2.186,8.865,-12.788,124.532,1994.756,-2371.332,0
500,2.365,8.745,-12.812,124.581,1994.94,-2371.601,0
521,2.525,8.715,-12.566,124.634,1995.123,-2371.866,0
542,2.636,8.629,-12.662,124.69,1995.304,-2372.131,0
562,2.645,8.715,-12.453,124.745,1995.487,-2372.393,0
583,2.391,8.644,-12.435,124.796,1995.669,-2372.654,0
604,2.261,8.726,-12.485,124.843,1995.852,-2372.917,0
625,2.211,8.863,-12.566,124.89,1996.038,-2373.181,0
646,2.243,8.859,-12.449,124.937,1996.224,-2373.442,0
667,2.149,8.784,-12.327,124.982,1996.409,-2373.702,0
688,2.12,8.734,-12.367,125.026,1996.592,-2373.961,0
708,1.926,8.921,-12.45,125.067,1996.78,-2374.223,0
729,1.778,9.021,-12.491,125.104,1996.97,-2374.486,0
750,1.809,9.111,-12.471,125.142,1997.161,-2374.748,0
771,1.922,9.086,-12.446,125.183,1997.352,-2375.009,0
792,2.118,8.967,-12.397,125.227,1997.54,-2375.27,0
812,2.12,8.897,-12.367,125.272,1997.727,-2375.53,0
833,2.07,8.961,-12.425,125.315,1997.916,-2375.791,0
854,2.06,9.083,-12.36,125.359,1998.107,-2376.051,0
875,2.155,8.994,-12.36,125.404,1998.296,-2376.311,0
896,2.243,8.91,-12.483,125.451,1998.483,-2376.573,0
916,2.246,8.87,-12.376,125.498,1998.67,-2376.833,0
937,2.373,8.655,-12.298,125.548,1998.852,-2377.092,0
958,2.419,8.548,-12.232,125.599,1999.031,-2377.349,0
979,2.366,8.642,-12.181,125.649,1999.213,-2377.605,0
1000,2.266,8.743,-12.289,125.696,1999.397,-2377.863,0
1021,2.222,8.859,-12.323,125.743,1999.583,-2378.122,1
1041,2.251,8.839,-12.199,125.79,1999.769,-2378.379,1
1062,2.321,8.736,-12.069,125.839,1999.952,-2378.632,1
1083,2.293,8.722,-12.082,125.887,2000.136,-2378.886,1
1104,2.225,8.805,-12.204,125.934,2000.321,-2379.143,1
1125,2.228,8.959,-12.476,125.981,2000.509,-2379.405,1
1146,2.337,8.859,-12.426,126.03,2000.695,-2379.666,1
1166,2.388,8.76,-12.351,126.08,2000.879,-2379.925,1
1187,2.512,8.77,-12.31,126.133,2001.064,-2380.184,1
1208,2.635,8.867,-12.306,126.188,2001.25,-2380.443,1
1229,2.666,8.889,-12.387,126.244,2001.437,-2380.703,1
1250,2.664,8.72,-12.335,126.3,2001.62,-2380.962,1
1271,2.495,8.63,-12.301,126.353,2001.801,-2381.22,1
1291,2.352,8.633,-12.268,126.402,2001.983,-2381.478,1
1312,2.304,8.747,-12.251,126.451,2002.166,-2381.736,1
1333,2.51,8.662,-12.376,126.503,2002.348,-2381.996,1
1354,2.459,8.755,-12.361,126.555,2002.532,-2382.255,1
1375,2.414,8.79,-12.342,126.606,2002.717,-2382.516,1
1396,2.467,8.667,-12.31,126.658,2002.899,-2382.774,1
1417,2.531,8.656,-12.254,126.711,2003.081,-2383.032,1
1437,2.656,8.752,-12.161,126.767,2003.266,-2383.287,1
1458,2.785,8.709,-12.159,126.825,2003.449,-2383.543,1
1479,2.887,8.631,-12.15,126.886,2003.63,-2383.798,1
1500,2.755,8.55,-12.272,126.944,2003.81,-2384.057,1
1521,2.581,8.557,-12.338,126.998,2003.99,-2384.316,1
1542,2.513,8.567,-12.324,127.051,2004.17,-2384.575,1
1563,2.639,8.679,-12.328,127.106,2004.352,-2384.834,1
1583,2.653,8.575,-12.404,127.162,2004.532,-2385.094,1
1604,2.666,8.597,-12.513,127.218,2004.713,-2385.358,1
1625,2.633,8.739,-12.444,127.274,2004.897,-2385.619,1
1646,2.62,8.706,-12.422,127.329,2005.08,-2385.88,1
1666,2.577,8.619,-12.389,127.383,2005.261,-2386.14,1
1687,2.593,8.636,-12.408,127.437,2005.442,-2386.401,1
1708,2.718,8.678,-12.403,127.494,2005.625,-2386.662,1
1729,2.757,8.674,-12.407,127.552,2005.807,-2386.922,1
1750,2.726,8.693,-12.343,127.61,2005.99,-2387.182,1
1771,2.703,8.647,-12.331,127.666,2006.171,-2387.441,1
1791,2.732,8.625,-12.308,127.724,2006.353,-2387.7,1
1812,2.776,8.559,-12.255,127.782,2006.533,-2387.958,1
1833,2.768,8.569,-12.262,127.84,2006.713,-2388.215,1
1854,2.72,8.621,-12.364,127.898,2006.894,-2388.475,1
1875,2.742,8.669,-12.499,127.955,2007.076,-2388.738,1
1896,2.813,8.789,-12.29,128.014,2007.261,-2388.996,1
1917,2.926,8.611,-12.285,128.076,2007.442,-2389.255,1
1937,2.761,8.502,-12.275,128.134,2007.621,-2389.513,1
1958,2.769,8.459,-12.481,128.192,2007.799,-2389.775,1
1979,2.789,8.623,-12.535,128.251,2007.98,-2390.038,1
2000,3.146,8.405,-12.574,128.317,2008.156,-2390.302,1
2021,2.924,8.337,-12.66,128.378,2008.331,-2390.568,1
2041,2.631,8.535,-12.397,128.433,2008.511,-2390.829,1
2063,2.557,8.283,-12.414,128.487,2008.685,-2391.09,1
2083,2.757,7.956,-12.395,128.545,2008.852,-2391.35,1
2104,2.891,7.914,-12.296,128.606,2009.018,-2391.609,1
2125,2.871,8.058,-12.569,128.666,2009.188,-2391.873,1
2146,2.547,8.303,-12.915,128.72,2009.362,-2392.145,1
2167,2.511,8.486,-12.779,128.773,2009.541,-2392.414,1
2187,2.708,8.501,-12.407,128.83,2009.72,-2392.675,1
2208,3.184,8.744,-12.095,128.897,2009.903,-2392.929,1
2229,3.093,8.651,-11.941,128.962,2010.085,-2393.18,1
2250,2.967,8.547,-11.979,129.024,2010.265,-2393.431,1
2271,2.836,8.67,-12.181,129.083,2010.447,-2393.687,1
2292,2.8,8.918,-12.533,129.142,2010.634,-2393.951,1
