timestamp,acc_x,acc_y,acc_z,vel_x,vel_y,vel_z,label
0,-2.135,9.291,-8.555,-468.061,6777.658,-6609.128,0
21,-2.289,9.08,-8.545,-468.109,6777.849,-6609.308,0
42,-2.252,9.055,-8.51,-468.157,6778.039,-6609.487,0
63,-2.149,9.259,-8.503,-468.202,6778.234,-6609.665,0
84,-2.269,9.273,-8.631,-468.25,6778.429,-6609.847,0
104,-1.977,9.245,-8.522,-468.291,6778.623,-6610.026,0
125,-2.175,9.183,-8.516,-468.337,6778.816,-6610.205,0
146,-2.175,9.147,-8.47,-468.383,6779.008,-6610.383,0
167,-2.178,9.075,-8.485,-468.428,6779.199,-6610.561,0
188,-2.076,9.086,-8.503,-468.472,6779.39,-6610.74,0
209,-2.059,9.111,-8.458,-468.515,6779.581,-6610.918,0
230,-2.146,9.232,-8.46,-468.56,6779.776,-6611.095,0
250,-2.147,9.253,-8.463,-468.605,6779.97,-6611.273,0
271,-2.094,9.185,-8.537,-468.65,6780.163,-6611.453,0
292,-2.026,9.121,-8.534,-468.692,6780.355,-6611.633,0
313,-2.133,9.115,-8.454,-468.737,6780.547,-6611.81,0
334,-2.3,9.173,-8.496,-468.785,6780.74,-6611.989,0
355,-2.302,9.171,-8.474,-468.834,6780.933,-6612.167,0
375,-2.228,9.121,-8.465,-468.881,6781.125,-6612.345,0
396,-2.097,9.034,-8.472,-468.925,6781.315,-6612.524,0
417,-2.076,9.103,-8.459,-468.968,6781.507,-6612.701,0
438,-2.057,9.185,-8.407,-469.012,6781.7,-6612.878,0
459,-2.218,9.217,-8.415,-469.058,6781.894,-6613.055,0
480,-2.221,9.109,-8.484,-469.105,6782.085,-6613.233,0
500,-2.12,9.091,-8.425,-469.15,6782.276,-6613.41,0
521,-2.045,9.054,-8.399,-469.193,6782.467,-6613.587,0
542,-2.081,9.097,-8.446,-469.236,6782.658,-6613.765,0
563,-2.162,9.225,-8.465,-469.282,6782.852,-6613.943,0
584,-2.175,9.192,-8.432,-469.328,6783.045,-6614.12,0
605,-2.14,9.17,-8.402,-469.373,6783.238,-6614.297,0
626,-2.06,9.159,-8.391,-469.416,6783.43,-6614.473,0
647,-2.109,9.142,-8.455,-469.46,6783.623,-6614.651,0
667,-2.081,9.16,-8.435,-469.504,6783.816,-6614.829,0
688,-2.045,9.143,-8.437,-469.547,6784.008,-6615.006,0
709,-2.125,9.168,-8.402,-469.592,6784.201,-6615.183,0
730,-2.06,9.207,-8.377,-469.635,6784.394,-6615.359,0
751,-2.077,9.122,-8.481,-469.679,6784.586,-6615.537,0
772,-2.186,9.124,-8.401,-469.725,6784.778,-6615.714,0
792,-2.064,9.097,-8.435,-469.768,6784.969,-6615.891,0
813,-2.018,9.089,-8.365,-469.81,6785.16,-6616.067,0
834,-2.044,9.099,-8.412,-469.853,6785.352,-6616.244,0
855,-2.087,9.216,-8.295,-469.897,6785.546,-6616.418,0
876,-2.15,9.159,-8.36,-469.942,6785.738,-6616.594,0
897,-2.104,9.132,-8.323,-469.987,6785.93,-6616.769,0
917,-2.019,9.133,-8.394,-470.029,6786.122,-6616.945,0
939,-2.04,9.184,-8.387,-470.072,6786.316,-6617.122,0
959,-2.097,9.219,-8.333,-470.116,6786.51,-6617.297,0
980,-2.077,9.128,-8.439,-470.16,6786.701,-6617.474,0
1001,-2.092,9.073,-8.479,-470.204,6786.892,-6617.653,0
1022,-2.158,9.211,-8.363,-470.249,6787.086,-6617.828,0
1042,-2.087,9.168,-8.327,-470.293,6787.279,-6618.004,0
1063,-2.069,9.167,-8.378,-470.337,6787.472,-6618.18,0
1084,-1.996,9.183,-8.426,-470.379,6787.665,-6618.357,0
1105,-2.123,9.095,-8.495,-470.423,6787.856,-6618.536,0
1126,-2.161,9.119,-8.311,-470.469,6788.048,-6618.711,0
1147,-2.094,9.057,-8.436,-470.513,6788.239,-6618.888,0
1168,-1.996,9.133,-8.384,-470.555,6788.43,-6619.064,0
1189,-2.018,9.167,-8.37,-470.597,6788.623,-6619.24,0
1209,-2.096,9.167,-8.452,-470.641,6788.816,-6619.418,0
1230,-2.099,9.21,-8.338,-470.685,6789.01,-6619.594,0
1251,-2.059,9.176,-8.342,-470.729,6789.203,-6619.769,0
1272,-2.113,9.176,-8.39,-470.773,6789.396,-6619.945,0
1292,-2.124,9.18,-8.416,-470.818,6789.589,-6620.122,0
1314,-2.124,9.193,-8.425,-470.863,6789.782,-6620.299,0
1334,-2.096,9.188,-8.35,-470.907,6789.975,-6620.475,0
1355,-2.062,9.15,-8.363,-470.95,6790.168,-6620.651,0
1376,-2.06,9.046,-8.383,-470.993,6790.358,-6620.827,0
1397,-2.118,9.075,-8.363,-471.038,6790.549,-6621.003,0
1418,-2.146,9.134,-8.477,-471.083,6790.741,-6621.181,0
1439,-2.134,9.144,-8.41,-471.128,6790.933,-6621.358,0
1459,-2.094,9.211,-8.329,-471.172,6791.127,-6621.533,0
1480,-2.067,9.128,-8.42,-471.215,6791.32,-6621.71,0
1501,-2.128,9.129,-8.402,-471.26,6791.511,-6621.887,0
1523,-2.133,9.193,-8.298,-471.305,6791.704,-6622.061,0
1543,-2.108,9.154,-8.362,-471.349,6791.897,-6622.237,0
1564,-2.121,9.153,-8.399,-471.394,6792.089,-6622.414,0
1584,-2.131,9.168,-8.432,-471.439,6792.282,-6622.591,0
1605,-2.128,9.197,-8.41,-471.483,6792.475,-6622.768,0
1626,-2.162,9.182,-8.345,-471.529,6792.668,-6622.943,0
1647,-2.131,9.142,-8.392,-471.574,6792.861,-6623.119,0
1668,-2.1,9.143,-8.405,-471.618,6793.053,-6623.296,0
1689,-2.059,9.13,-8.439,-471.661,6793.245,-6623.473,0
1709,-2.109,9.146,-8.363,-471.705,6793.437,-6623.649,0
1730,-2.171,9.169,-8.352,-471.751,6793.63,-6623.825,0
1751,-2.186,9.125,-8.375,-471.797,6793.822,-6624.001,0
1772,-2.123,9.104,-8.362,-471.842,6794.013,-6624.177,0
1793,-2.118,9.162,-8.357,-471.886,6794.206,-6624.353,0
1814,-2.197,9.187,-8.345,-471.932,6794.4,-6624.528,0
1834,-2.157,9.114,-8.429,-471.978,6794.591,-6624.705,0
1856,-2.121,9.089,-8.357,-472.022,6794.782,-6624.881,0
1876,-2.119,9.08,-8.389,-472.067,6794.973,-6625.057,0
1897,-2.153,9.128,-8.406,-472.112,6795.165,-6625.234,0
1918,-2.184,9.18,-8.305,-472.158,6795.358,-6625.409,0
1939,-2.132,9.155,-8.322,-472.203,6795.551,-6625.584,0
1960,-2.158,9.115,-8.424,-472.248,6795.742,-6625.761,0
1981,-2.169,9.205,-8.395,-472.294,6795.935,-6625.938,0
2001,-2.129,9.128,-8.383,-472.339,6796.127,-6626.114,0
2022,-2.113,9.099,-8.35,-472.383,6796.319,-6626.29,0
2043,-2.09,9.136,-8.391,-472.427,6796.511,-6626.466,0
2064,-2.208,9.197,-8.37,-472.474,6796.704,-6626.642,0
2085,-2.231,9.134,-8.46,-472.52,6796.896,-6626.82,0
2105,-2.162,9.176,-8.346,-472.566,6797.089,-6626.995,0
2126,-2.103,9.173,-8.357,-472.61,6797.281,-6627.171,1
2147,-2.129,9.098,-8.377,-472.655,6797.473,-6627.347,1
2168,-2.096,9.094,-8.406,-472.699,6797.665,-6627.524,1
2189,-2.148,9.121,-8.31,-472.744,6797.857,-6627.699,1
2210,-2.182,9.158,-8.28,-472.79,6798.049,-6627.873,1
2230,-2.135,9.19,-8.302,-472.835,6798.242,-6628.048,1
2251,-2.158,9.15,-8.404,-472.88,6798.435,-6628.224,1
2272,-2.192,9.15,-8.424,-472.926,6798.627,-6628.401,1
2293,-2.14,9.201,-8.309,-472.971,6798.82,-6628.576,1
2314,-2.113,9.121,-8.37,-473.016,6799.012,-6628.752,1
2335,-2.108,9.134,-8.371,-473.06,6799.204,-6628.927,1
2356,-2.207,9.148,-8.367,-473.107,6799.396,-6629.103,1
2377,-2.194,9.094,-8.328,-473.153,6799.588,-6629.279,1
2397,-2.126,9.065,-8.344,-473.197,6799.778,-6629.454,1
2418,-2.13,9.128,-8.376,-473.242,6799.97,-6629.63,1
2439,-2.193,9.161,-8.368,-473.288,6800.163,-6629.806,1
2460,-2.128,9.142,-8.36,-473.333,6800.355,-6629.982,1
2481,-2.181,9.138,-8.339,-473.379,6800.547,-6630.157,1
2501,-2.191,9.167,-8.349,-473.425,6800.74,-6630.333,1
2523,-2.127,9.177,-8.354,-473.47,6800.933,-6630.509,1
2544,-2.117,9.197,-8.279,-473.514,6801.126,-6630.683,1
2564,-2.218,9.048,-8.441,-473.561,6801.317,-6630.86,1
2585,-2.178,9.156,-8.249,-473.607,6801.509,-6631.033,1
2606,-2.26,9.171,-8.286,-473.654,6801.702,-6631.208,1
2627,-2.254,8.996,-8.517,-473.701,6801.891,-6631.387,1
2647,-2.236,8.961,-8.517,-473.748,6802.079,-6631.566,1
2668,-2.25,9.116,-8.284,-473.796,6802.271,-6631.74,1
2689,-2.117,9.253,-8.195,-473.84,6802.466,-6631.913,1
2710,-1.987,9.307,-8.249,-473.882,6802.661,-6632.086,1
2731,-2.048,9.296,-8.263,-473.925,6802.857,-6632.26,1
2752,-2.242,9.235,-8.274,-473.972,6803.051,-6632.434,1
2773,-2.185,9.191,-8.247,-474.018,6803.244,-6632.607,1
2793,-2.044,9.109,-8.281,-474.061,6803.436,-6632.781,1
2814,-2.042,9.006,-8.28,-474.104,6803.625,-6632.956,1
2835,-2.222,8.897,-8.226,-474.151,6803.812,-6633.129,1
