timestamp,acc_x,acc_y,acc_z,vel_x,vel_y,vel_z,label
0,-3.174,8.748,-11.494,-548.89,7073.836,-6954.908,0
21,-3.348,8.727,-11.652,-548.961,7074.02,-6955.153,0
42,-3.329,8.741,-11.728,-549.031,7074.203,-6955.4,0
62,-3.227,8.725,-11.768,-549.098,7074.387,-6955.647,0
83,-3.172,8.728,-11.847,-549.165,7074.571,-6955.896,0
104,-3.267,8.833,-11.889,-549.234,7074.756,-6956.146,0
125,-3.226,8.984,-11.848,-549.302,7074.945,-6956.395,0
146,-3.078,8.984,-11.773,-549.366,7075.134,-6956.643,0
167,-2.897,8.896,-11.746,-549.427,7075.321,-6956.89,0
188,-2.969,8.903,-11.734,-549.49,7075.508,-6957.137,0
208,-3.084,8.643,-11.802,-549.555,7075.69,-6957.385,0
229,-3.242,8.524,-11.786,-549.623,7075.869,-6957.633,0
250,-3.153,8.644,-11.697,-549.689,7076.051,-6957.879,0
271,-2.979,8.537,-11.955,-549.752,7076.23,-6958.131,0
292,-3.081,8.648,-11.914,-549.816,7076.412,-6958.381,0
313,-3.206,8.872,-11.801,-549.884,7076.598,-6958.629,0
334,-3.218,8.887,-11.814,-549.952,7076.785,-6958.878,0
354,-3.168,8.744,-11.85,-550.018,7076.969,-6959.127,0
375,-3.163,8.626,-11.861,-550.085,7077.151,-6959.376,0
396,-3.142,8.727,-11.85,-550.151,7077.334,-6959.625,0
417,-3.11,8.896,-11.841,-550.216,7077.522,-6959.875,0
438,-3.187,8.876,-11.784,-550.283,7077.708,-6960.122,0
459,-3.157,8.775,-11.816,-550.35,7077.893,-6960.371,0
479,-3.19,8.737,-11.818,-550.417,7078.076,-6960.619,0
500,-3.205,8.826,-11.765,-550.484,7078.262,-6960.867,0
521,-3.068,8.814,-11.826,-550.549,7078.448,-6961.115,0
542,-3.136,8.811,-11.792,-550.615,7078.633,-6961.364,0
563,-3.143,8.822,-11.782,-550.681,7078.818,-6961.611,0
588,-3.166,8.784,-11.822,-550.747,7079.003,-6961.86,0
605,-3.186,8.691,-11.872,-550.814,7079.185,-6962.109,0
625,-3.281,8.689,-11.877,-550.883,7079.368,-6962.359,0
646,-3.115,8.86,-11.768,-550.949,7079.554,-6962.606,0
667,-2.982,8.815,-11.729,-551.012,7079.74,-6962.853,0
688,-3.037,8.706,-11.739,-551.076,7079.923,-6963.1,0
709,-3.202,8.719,-11.707,-551.143,7080.106,-6963.346,0
730,-3.159,8.753,-11.77,-551.209,7080.29,-6963.594,0
751,-3.051,8.762,-11.75,-551.273,7080.474,-6963.841,0
771,-3.046,8.791,-11.706,-551.337,7080.659,-6964.087,0
792,-3.138,8.778,-11.698,-551.403,7080.844,-6964.333,0
813,-3.296,8.781,-11.661,-551.473,7081.029,-6964.578,0
834,-3.23,8.716,-11.825,-551.541,7081.212,-6964.826,0
855,-3.025,8.794,-11.86,-551.604,7081.397,-6965.076,0
875,-3.121,8.921,-11.702,-551.67,7081.584,-6965.322,0
896,-3.145,8.808,-11.642,-551.736,7081.769,-6965.567,0
917,-3.016,8.668,-11.683,-551.799,7081.951,-6965.812,0
938,-3.113,8.807,-11.606,-551.865,7082.136,-6966.056,0
959,-3.026,8.863,-11.451,-551.929,7082.323,-6966.298,0
980,-2.791,8.769,-11.597,-551.987,7082.508,-6966.542,0
1001,-2.738,8.857,-11.612,-552.045,7082.694,-6966.786,0
1022,-2.796,9.002,-11.609,-552.104,7082.884,-6967.03,0
1042,-2.953,9.124,-11.505,-552.166,7083.075,-6967.272,0
1063,-2.962,8.872,-11.506,-552.228,7083.262,-6967.513,0
1084,-3.207,8.276,-11.886,-552.296,7083.436,-6967.763,0
1105,-3.386,8.224,-11.999,-552.367,7083.609,-6968.016,0
1126,-3.306,8.484,-11.996,-552.436,7083.787,-6968.268,0
1147,-3.144,8.849,-11.877,-552.502,7083.973,-6968.518,0
1167,-3.037,8.739,-12.045,-552.566,7084.156,-6968.771,0
1188,-3.253,8.718,-12.108,-552.635,7084.34,-6969.026,0
1209,-3.448,8.751,-12.113,-552.707,7084.524,-6969.281,0
