timestamp,acc_x,acc_y,acc_z,vel_x,vel_y,vel_z,label
0,-5.714,7.767,-11.53,-473.163,11983.426,-13253.704,0
21,-5.058,8.259,-11.047,-473.269,11983.6,-13253.938,0
42,-4.176,8.315,-11.289,-473.357,11983.774,-13254.174,0
63,-4.349,8.029,-11.43,-473.448,11983.944,-13254.414,0
83,-5.177,7.446,-11.559,-473.557,11984.1,-13254.658,0
104,-5.896,7.188,-11.839,-473.681,11984.252,-13254.906,0
125,-5.854,7.168,-11.964,-473.804,11984.402,-13255.158,0
146,-5.538,7.316,-11.995,-473.921,11984.556,-13255.412,0
167,-5.411,7.791,-11.948,-474.034,11984.72,-13255.662,0
188,-5.308,8.221,-11.896,-474.146,11984.894,-13255.912,0
208,-5.316,8.23,-11.883,-474.258,11985.066,-13256.162,0
229,-5.401,8.069,-11.834,-474.371,11985.236,-13256.412,0
250,-5.437,7.714,-11.918,-474.486,11985.398,-13256.662,0
271,-5.424,7.513,-11.917,-474.6,11985.556,-13256.914,0
292,-5.564,7.342,-11.826,-474.717,11985.712,-13257.164,0
313,-5.436,7.277,-11.9,-474.832,11985.864,-13257.414,0
334,-5.48,7.444,-12.035,-474.947,11986.022,-13257.666,0
355,-5.403,7.701,-12.048,-475.061,11986.184,-13257.92,0
375,-5.452,7.766,-11.975,-475.175,11986.346,-13258.172,0
396,-5.436,7.592,-11.943,-475.29,11986.506,-13258.422,0
417,-5.352,7.495,-11.912,-475.402,11986.662,-13258.672,0
438,-5.569,7.222,-11.965,-475.519,11986.814,-13258.924,0
459,-5.525,7.396,-11.988,-475.635,11986.97,-13259.176,0
480,-5.426,7.26,-12.059,-475.749,11987.122,-13259.43,0
500,-5.339,7.371,-12.133,-475.862,11987.276,-13259.686,0
521,-5.274,7.636,-12.142,-475.973,11987.438,-13259.94,0
542,-5.432,7.778,-12.166,-476.087,11987.6,-13260.196,0
563,-5.44,7.738,-12.133,-476.201,11987.764,-13260.452,0
584,-5.49,7.588,-12.194,-476.317,11987.922,-13260.708,0
605,-5.212,7.709,-12.321,-476.427,11988.084,-13260.968,0
625,-5.084,7.873,-12.325,-476.533,11988.25,-13261.226,0
646,-5.024,7.848,-12.21,-476.639,11988.416,-13261.482,0
667,-5.263,7.632,-12.145,-476.75,11988.576,-13261.738,0
688,-5.381,7.324,-12.185,-476.863,11988.73,-13261.994,0
709,-5.4,7.414,-12.049,-476.977,11988.886,-13262.248,0
730,-5.161,7.626,-11.986,-477.085,11989.046,-13262.5,0
751,-5.171,7.523,-12.441,-477.194,11989.204,-13262.762,0
771,-5.189,7.557,-12.587,-477.303,11989.364,-13263.026,0
792,-5.101,7.513,-12.581,-477.41,11989.522,-13263.29,0
813,-5.136,7.769,-12.509,-477.518,11989.686,-13263.554,0
834,-5.291,7.779,-12.687,-477.63,11989.85,-13263.82,0
855,-5.356,7.699,-12.734,-477.743,11990.012,-13264.09,0
876,-5.339,7.578,-12.582,-477.855,11990.17,-13264.354,0
897,-5.473,7.111,-12.429,-477.97,11990.32,-13264.616,0
917,-5.806,6.904,-12.413,-478.092,11990.466,-13264.876,0
938,-6.039,7.179,-12.494,-478.219,11990.616,-13265.14,0
959,-5.851,7.437,-12.727,-478.342,11990.772,-13265.406,0
980,-5.457,7.52,-12.597,-478.457,11990.932,-13265.672,0
1001,-5.6,7.529,-12.45,-478.575,11991.09,-13265.934,0
1022,-5.519,7.537,-12.432,-478.691,11991.248,-13266.194,0
1042,-5.344,7.584,-12.397,-478.803,11991.406,-13266.456,0
1063,-5.259,7.604,-12.356,-478.914,11991.566,-13266.716,0
1084,-5.357,7.518,-12.247,-479.027,11991.726,-13266.974,0
1105,-5.374,7.468,-12.189,-479.14,11991.882,-13267.23,0
1126,-5.289,7.516,-12.192,-479.251,11992.04,-13267.486,0
1147,-5.198,7.538,-12.255,-479.36,11992.198,-13267.744,0
1168,-5.14,7.789,-12.2,-479.468,11992.362,-13268.0,0
1188,-5.025,8.015,-12.386,-479.574,11992.532,-13268.262,1
1209,-5.099,8.205,-12.402,-479.681,11992.704,-13268.522,1
1230,-5.041,8.179,-12.435,-479.787,11992.876,-13268.784,1
1251,-5.053,7.991,-12.413,-479.894,11993.044,-13269.046,1
1272,-5.021,7.79,-12.394,-479.999,11993.208,-13269.306,1
1293,-4.977,7.821,-12.28,-480.104,11993.372,-13269.564,1
1313,-4.988,7.816,-12.143,-480.209,11993.536,-13269.818,1
1334,-5.036,7.694,-11.938,-480.315,11993.698,-13270.07,1
1355,-5.066,7.649,-11.833,-480.421,11993.86,-13270.318,1
1376,-5.169,7.692,-11.773,-480.53,11994.022,-13270.566,1
1397,-5.138,7.845,-11.761,-480.638,11994.188,-13270.814,1
1418,-4.953,7.822,-11.695,-480.742,11994.352,-13271.06,1
1439,-4.868,7.675,-11.644,-480.844,11994.512,-13271.306,1
1459,-4.859,7.808,-11.56,-480.947,11994.676,-13271.548,1
1480,-4.779,8.009,-11.513,-481.047,11994.844,-13271.79,1
1502,-4.779,8.092,-11.534,-481.148,11995.014,-13272.032,1
1522,-4.843,8.059,-11.563,-481.25,11995.184,-13272.276,1
1543,-4.883,8.025,-11.546,-481.352,11995.354,-13272.52,1
1564,-4.988,7.91,-11.478,-481.457,11995.52,-13272.76,1
1585,-5.087,7.843,-11.369,-481.564,11995.684,-13273.0,1
1605,-5.142,7.821,-11.312,-481.672,11995.848,-13273.238,1
1626,-5.049,7.994,-11.223,-481.778,11996.016,-13273.474,1
1647,-5.053,7.992,-11.057,-481.885,11996.184,-13273.706,1
1668,-5.041,7.938,-11.006,-481.991,11996.352,-13273.938,1
