timestamp,acc_x,acc_y,acc_z,vel_x,vel_y,vel_z,label
0,0.026,-0.129,-0.069,-500.498,12024.878,-13315.534,0
21,0.079,0.021,-0.018,-500.496,12024.878,-13315.534,0
42,0.075,0.128,0.014,-500.495,12024.882,-13315.534,0
63,0.075,0.123,-0.006,-500.493,12024.884,-13315.534,0
83,0.096,0.025,-0.002,-500.491,12024.886,-13315.534,0
104,0.079,-0.059,-0.063,-500.489,12024.884,-13315.534,0
125,0.018,-0.101,-0.034,-500.489,12024.882,-13315.536,0
146,-0.821,2.006,-0.093,-500.506,12024.924,-13315.538,0
167,-0.842,2.165,-0.122,-500.524,12024.97,-13315.54,0
187,0.326,-0.675,0.062,-500.517,12024.956,-13315.54,0
209,0.734,-1.924,0.035,-500.502,12024.916,-13315.538,0
229,0.958,-0.222,-0.021,-500.482,12024.91,-13315.538,0
250,1.208,-0.813,0.034,-500.456,12024.894,-13315.538,0
271,0.224,0.238,0.016,-500.452,12024.898,-13315.538,0
292,-1.406,1.119,-0.014,-500.481,12024.922,-13315.538,0
313,-0.233,-0.04,-0.007,-500.486,12024.922,-13315.538,0
334,-0.023,-0.104,-0.015,-500.486,12024.92,-13315.538,0
354,1.51,0.358,-0.02,-500.455,12024.928,-13315.538,0
375,-1.697,0.421,0.01,-500.49,12024.936,-13315.538,0
396,1.585,-3.159,0.144,-500.457,12024.87,-13315.534,0
417,1.948,-3.042,0.104,-500.416,12024.806,-13315.532,0
438,0.95,-0.783,0.061,-500.396,12024.788,-13315.532,0
459,-0.055,0.81,-0.057,-500.397,12024.806,-13315.532,0
480,-1.544,0.448,-0.169,-500.43,12024.814,-13315.536,0
500,-3.071,0.558,0.021,-500.494,12024.826,-13315.536,0
521,-2.088,0.834,0.206,-500.538,12024.844,-13315.532,0
542,0.261,1.059,-0.404,-500.533,12024.866,-13315.542,0
563,0.513,1.432,0.106,-500.522,12024.896,-13315.54,0
584,0.628,1.011,-0.079,-500.509,12024.918,-13315.542,0
605,0.142,0.466,-0.027,-500.506,12024.928,-13315.542,0
